x,y
0.18302627334313057,6.213693476327277
0.29915946808129323,6.977191170907752
0.4367988099931897,7.560855918947379
0.5656564751424782,7.819308271906597
0.7094340298935445,7.542044513510474
0.8020000716871573,7.204154866939977
0.9025413097243629,6.846942635437007
0.9712713717337539,6.477871039636858
1.085388365174379,6.26665167206813
1.2458331839850891,6.045310950487154
1.445661134807699,6.263993538691175
1.5978619305351447,6.687147925122427
1.7925373669307143,7.001216607199452
2.0169181691100038,6.788668172942247
2.1686261156313846,6.56957664114177
2.3526828918599234,6.3188942165151865
2.5451181045915625,6.608017339208489
2.6729900713287216,7.311604796908386
2.773620918312484,8.08185006083036
2.883436682318363,8.804146688068048
2.9845155740349116,9.237933608007115
3.0668213914477223,9.65413595329864
3.240797161188573,9.731221821230307
3.337485214523818,9.293856644822263
3.4439406430338004,8.710907548076431
3.5527259041542707,8.087370799382494
3.628355855048568,7.3624160387678526
3.7198913939567726,6.755339269831208
3.8282286103444565,6.129757803155
3.927336105236747,5.561326204083302
4.032716226388042,4.997801928169057
4.259068425391591,4.684551133284941
4.385461844510556,4.957214276220952
4.508942972866411,5.364726570087821
4.716970142299007,5.562144091276211
4.89054267178035,5.388854242278634
5.037590953080755,5.05699651375584
5.22240940535503,4.648768568595177
5.4368436144664685,4.424769713637247
5.6077726800243735,4.704998313107664
5.712077493816983,5.09942441188799
5.917954048532206,5.38169772934068
6.088524678303882,5.108318935110875
6.199057313882218,4.56882009548833
6.2691763145632455,4.126956539519287
6.355648947990967,3.5643523866970646
6.411564930642675,3.0268982650567917
6.511210079214308,2.3775980697862247
6.593336678734005,1.7919908396634394
6.66677121043765,1.3011562880189749
6.7292286461880355,0.813899992843487
6.807770887845442,0.5554476398842689
6.951100397863723,0.2627462607219899
7.0995376178357645,0.4248923967161829
7.1742714792644895,0.927484076758713
7.269256962615147,1.5239283121875415
7.33986881250224,2.1226217373968694
7.416215634968995,2.7103759214010408
7.4991935194809844,3.216545857912547
7.619583139180616,3.5866398127038326
7.7394799096741815,3.753693271855479
7.988503172156708,3.513132201241144
8.158356930355927,3.2092871090754804
8.29380085307717,3.012585239180886
8.521810817592028,3.282692484639056
8.665857199182765,3.7252716919018942
8.85098928276999,4.018688722357969
8.99633499408581,3.934753049185691
9.111661708304958,3.5673172277713596
9.221925517043621,3.160009405702718
9.359744076848632,2.718759265128357
9.53282375712391,2.3835277519348144
9.724362880389977,2.5549773547483463
9.826830710778165,3.129849815464202
9.888705688375927,3.5493237095273633
9.92638625040324,3.9529510392279144
9.94641384995878,4.301779927003568
9.980689272016917,4.811834827681392
