Measure,region_from,region_to,Measure_Type,value,Base_Region,Sample_ID
entropy_kozachenko,lateraloccipital,lateraloccipital,Univariate,1.5099707036992553,lateraloccipital,101107
AIS_kraskov,lateraloccipital,lateraloccipital,Univariate,0.7179444572755838,lateraloccipital,101107
entropy_kozachenko,parsopercularis,parsopercularis,Univariate,1.4259991205955158,parsopercularis,101107
AIS_kraskov,parsopercularis,parsopercularis,Univariate,0.08517048027110263,parsopercularis,101107
je_kozachenko,lateraloccipital,parsopercularis,Bivariate,2.721585938087818,,101107
si_kozachenko_k-1,lateraloccipital,parsopercularis,Bivariate,-0.007707403958629566,,101107
mi_kraskov_NN-4,lateraloccipital,parsopercularis,Bivariate,0.03042950191871263,,101107
tlmi_kraskov_NN-4,lateraloccipital,parsopercularis,Bivariate,-0.018513982695674613,,101107
di_kozachenko,lateraloccipital,parsopercularis,Bivariate,-0.423320725066346,,101107
gc_gaussian_k-1_kt-1_l-1_lt-1,lateraloccipital,parsopercularis,Bivariate,0.004567955773583736,,101107
te_kraskov_NN-4_k-1_kt-1_l-1_lt-1,lateraloccipital,parsopercularis,Bivariate,-0.02837229108302952,,101107
ce_kozachenko,lateraloccipital,parsopercularis,Bivariate,1.3758306447053497,,101107
cce_kozachenko,lateraloccipital,parsopercularis,Bivariate,7.17407931842351,,101107
entropy_kozachenko,postcentral,postcentral,Univariate,1.444030027034299,postcentral,101107
AIS_kraskov,postcentral,postcentral,Univariate,0.6341271284026924,postcentral,101107
je_kozachenko,lateraloccipital,postcentral,Bivariate,2.77170001758715,,101107
si_kozachenko_k-1,lateraloccipital,postcentral,Bivariate,0.20352721923068406,,101107
mi_kraskov_NN-4,lateraloccipital,postcentral,Bivariate,0.01647170854735336,,101107
tlmi_kraskov_NN-4,lateraloccipital,postcentral,Bivariate,0.026647173716133565,,101107
di_kozachenko,lateraloccipital,postcentral,Bivariate,0.6433198446493691,,101107
gc_gaussian_k-1_kt-1_l-1_lt-1,lateraloccipital,postcentral,Bivariate,0.01116409361834482,,101107
te_kraskov_NN-4_k-1_kt-1_l-1_lt-1,lateraloccipital,postcentral,Bivariate,0.031759119954061665,,101107
ce_kozachenko,lateraloccipital,postcentral,Bivariate,1.4258255312965065,,101107
cce_kozachenko,lateraloccipital,postcentral,Bivariate,4.600611478808457,,101107
entropy_kozachenko,isthmuscingulate,isthmuscingulate,Univariate,1.3674020599468601,isthmuscingulate,101107
AIS_kraskov,isthmuscingulate,isthmuscingulate,Univariate,0.13602297638866023,isthmuscingulate,101107
je_kozachenko,lateraloccipital,isthmuscingulate,Bivariate,2.85678186471254,,101107
si_kozachenko_k-1,lateraloccipital,isthmuscingulate,Bivariate,0.11482400784057534,,101107
mi_kraskov_NN-4,lateraloccipital,isthmuscingulate,Bivariate,-0.008248004222522809,,101107
tlmi_kraskov_NN-4,lateraloccipital,isthmuscingulate,Bivariate,0.03139185165830938,,101107
di_kozachenko,lateraloccipital,isthmuscingulate,Bivariate,-0.04601312837160787,,101107
gc_gaussian_k-1_kt-1_l-1_lt-1,lateraloccipital,isthmuscingulate,Bivariate,0.0027818311209796866,,101107
te_kraskov_NN-4_k-1_kt-1_l-1_lt-1,lateraloccipital,isthmuscingulate,Bivariate,0.009868316847062797,,101107
ce_kozachenko,lateraloccipital,isthmuscingulate,Bivariate,1.5110426872492053,,101107
cce_kozachenko,lateraloccipital,isthmuscingulate,Bivariate,6.807023433880025,,101107
entropy_kozachenko,posteriorcingulate,posteriorcingulate,Univariate,1.4678286479543017,posteriorcingulate,101107
AIS_kraskov,posteriorcingulate,posteriorcingulate,Univariate,0.03357350244587565,posteriorcingulate,101107
je_kozachenko,lateraloccipital,posteriorcingulate,Bivariate,2.8263856637556217,,101107
si_kozachenko_k-1,lateraloccipital,posteriorcingulate,Bivariate,0.07209579776417341,,101107
mi_kraskov_NN-4,lateraloccipital,posteriorcingulate,Bivariate,-0.0007740072337814041,,101107
tlmi_kraskov_NN-4,lateraloccipital,posteriorcingulate,Bivariate,0.003064082163094284,,101107
di_kozachenko,lateraloccipital,posteriorcingulate,Bivariate,-0.4644541847234924,,101107
gc_gaussian_k-1_kt-1_l-1_lt-1,lateraloccipital,posteriorcingulate,Bivariate,0.009383911837123107,,101107
te_kraskov_NN-4_k-1_kt-1_l-1_lt-1,lateraloccipital,posteriorcingulate,Bivariate,0.005830371630957121,,101107
ce_kozachenko,lateraloccipital,posteriorcingulate,Bivariate,1.4805691642301402,,101107
cce_kozachenko,lateraloccipital,posteriorcingulate,Bivariate,7.420818110401849,,101107
entropy_kozachenko,inferiortemporal,inferiortemporal,Univariate,1.4319441513469116,inferiortemporal,101107
AIS_kraskov,inferiortemporal,inferiortemporal,Univariate,0.061047022280662944,inferiortemporal,101107
je_kozachenko,lateraloccipital,inferiortemporal,Bivariate,2.727829184536881,,101107
si_kozachenko_k-1,lateraloccipital,inferiortemporal,Bivariate,0.15193905885878367,,101107
mi_kraskov_NN-4,lateraloccipital,inferiortemporal,Bivariate,0.04322816967746235,,101107
tlmi_kraskov_NN-4,lateraloccipital,inferiortemporal,Bivariate,0.05176165791222864,,101107
di_kozachenko,lateraloccipital,inferiortemporal,Bivariate,-0.14463201351371602,,101107
