Measure,region_from,region_to,Measure_Type,value,Base_Region,Sample_ID
entropy_kozachenko,lateraloccipital,lateraloccipital,Univariate,1.4013696182691113,lateraloccipital,140925
AIS_kraskov,lateraloccipital,lateraloccipital,Univariate,0.5560072128043538,lateraloccipital,140925
entropy_kozachenko,parsopercularis,parsopercularis,Univariate,1.465713029166075,parsopercularis,140925
AIS_kraskov,parsopercularis,parsopercularis,Univariate,0.36510378146509126,parsopercularis,140925
je_kozachenko,lateraloccipital,parsopercularis,Bivariate,2.8212697460116885,,140925
si_kozachenko_k-1,lateraloccipital,parsopercularis,Bivariate,0.04346281520918405,,140925
mi_kraskov_NN-4,lateraloccipital,parsopercularis,Bivariate,0.012676687871199022,,140925
tlmi_kraskov_NN-4,lateraloccipital,parsopercularis,Bivariate,0.040824149266804,,140925
di_kozachenko,lateraloccipital,parsopercularis,Bivariate,0.5346282615470646,,140925
gc_gaussian_k-1_kt-1_l-1_lt-1,lateraloccipital,parsopercularis,Bivariate,0.0021492312767263507,,140925
te_kraskov_NN-4_k-1_kt-1_l-1_lt-1,lateraloccipital,parsopercularis,Bivariate,0.0005740178563848897,,140925
ce_kozachenko,lateraloccipital,parsopercularis,Bivariate,1.474211371917154,,140925
cce_kozachenko,lateraloccipital,parsopercularis,Bivariate,5.574338629325895,,140925
entropy_kozachenko,postcentral,postcentral,Univariate,1.4754920755353504,postcentral,140925
AIS_kraskov,postcentral,postcentral,Univariate,0.7025332692771631,postcentral,140925
je_kozachenko,lateraloccipital,postcentral,Bivariate,2.795813229839774,,140925
si_kozachenko_k-1,lateraloccipital,postcentral,Bivariate,-0.045526307722587145,,140925
mi_kraskov_NN-4,lateraloccipital,postcentral,Bivariate,0.030385137094391723,,140925
tlmi_kraskov_NN-4,lateraloccipital,postcentral,Bivariate,0.023013894063689477,,140925
di_kozachenko,lateraloccipital,postcentral,Bivariate,0.5702177283282523,,140925
gc_gaussian_k-1_kt-1_l-1_lt-1,lateraloccipital,postcentral,Bivariate,0.0010470444720906014,,140925
te_kraskov_NN-4_k-1_kt-1_l-1_lt-1,lateraloccipital,postcentral,Bivariate,0.0015148927212862429,,140925
ce_kozachenko,lateraloccipital,postcentral,Bivariate,1.4487928896303024,,140925
cce_kozachenko,lateraloccipital,postcentral,Bivariate,4.641594316838855,,140925
entropy_kozachenko,isthmuscingulate,isthmuscingulate,Univariate,1.3743594322421808,isthmuscingulate,140925
AIS_kraskov,isthmuscingulate,isthmuscingulate,Univariate,0.26516339290745616,isthmuscingulate,140925
je_kozachenko,lateraloccipital,isthmuscingulate,Bivariate,2.767726156087216,,140925
si_kozachenko_k-1,lateraloccipital,isthmuscingulate,Bivariate,0.11068050530973439,,140925
mi_kraskov_NN-4,lateraloccipital,isthmuscingulate,Bivariate,0.023415896776707967,,140925
tlmi_kraskov_NN-4,lateraloccipital,isthmuscingulate,Bivariate,0.011768460711857998,,140925
di_kozachenko,lateraloccipital,isthmuscingulate,Bivariate,0.36303363200121375,,140925
gc_gaussian_k-1_kt-1_l-1_lt-1,lateraloccipital,isthmuscingulate,Bivariate,0.002957359947045074,,140925
te_kraskov_NN-4_k-1_kt-1_l-1_lt-1,lateraloccipital,isthmuscingulate,Bivariate,0.029900163235802246,,140925
ce_kozachenko,lateraloccipital,isthmuscingulate,Bivariate,1.4206843711536652,,140925
cce_kozachenko,lateraloccipital,isthmuscingulate,Bivariate,5.9820794084632425,,140925
entropy_kozachenko,posteriorcingulate,posteriorcingulate,Univariate,1.4203923297695962,posteriorcingulate,140925
AIS_kraskov,posteriorcingulate,posteriorcingulate,Univariate,0.1443631321629102,posteriorcingulate,140925
je_kozachenko,lateraloccipital,posteriorcingulate,Bivariate,2.861238128344054,,140925
si_kozachenko_k-1,lateraloccipital,posteriorcingulate,Bivariate,0.22094120736220857,,140925
mi_kraskov_NN-4,lateraloccipital,posteriorcingulate,Bivariate,0.013336046584880634,,140925
tlmi_kraskov_NN-4,lateraloccipital,posteriorcingulate,Bivariate,0.01550413339077572,,140925
di_kozachenko,lateraloccipital,posteriorcingulate,Bivariate,0.11386654072794844,,140925
gc_gaussian_k-1_kt-1_l-1_lt-1,lateraloccipital,posteriorcingulate,Bivariate,0.0035698631189020513,,140925
te_kraskov_NN-4_k-1_kt-1_l-1_lt-1,lateraloccipital,posteriorcingulate,Bivariate,-0.016643586632858476,,140925
ce_kozachenko,lateraloccipital,posteriorcingulate,Bivariate,1.514176582585939,,140925
cce_kozachenko,lateraloccipital,posteriorcingulate,Bivariate,6.456608612672067,,140925
entropy_kozachenko,inferiortemporal,inferiortemporal,Univariate,1.4464401424241595,inferiortemporal,140925
AIS_kraskov,inferiortemporal,inferiortemporal,Univariate,0.3722045938429046,inferiortemporal,140925
je_kozachenko,lateraloccipital,inferiortemporal,Bivariate,2.8429881378357433,,140925
si_kozachenko_k-1,lateraloccipital,inferiortemporal,Bivariate,0.18845125652520656,,140925
mi_kraskov_NN-4,lateraloccipital,inferiortemporal,Bivariate,0.015754394659813542,,140925
tlmi_kraskov_NN-4,lateraloccipital,inferiortemporal,Bivariate,0.04524916087947872,,140925
di_kozachenko,lateraloccipital,inferiortemporal,Bivariate,0.41983366283145074,,140925
gc_gaussian_k-1_kt-1_l-1_lt-1,lateraloccipital,inferiortemporal,Bivariate,0.009079833883733202,,140925
te_kraskov_NN-4_k-1_kt-1_l-1_lt-1,lateraloccipital,inferiortemporal,Bivariate,0.004186725717045592,,140925
ce_kozachenko,lateraloccipital,inferiortemporal,Bivariate,1.4959354983649535,,140925
cce_kozachenko,lateraloccipital,inferiortemporal,Bivariate,5.648645696043577,,140925
entropy_kozachenko,inferiorparietal,inferiorparietal,Univariate,1.3678065966166137,inferiorparietal,140925
AIS_kraskov,inferiorparietal,inferiorparietal,Univariate,0.5845578058132741,inferiorparietal,140925
je_kozachenko,lateraloccipital,inferiorparietal,Bivariate,2.8684772970559513,,140925
si_kozachenko_k-1,lateraloccipital,inferiorparietal,Bivariate,0.2523941794315836,,140925
mi_kraskov_NN-4,lateraloccipital,inferiorparietal,Bivariate,0.042439928151527084,,140925
tlmi_kraskov_NN-4,lateraloccipital,inferiorparietal,Bivariate,0.023314205777001717,,140925
di_kozachenko,lateraloccipital,inferiorparietal,Bivariate,0.5021770349800647,,140925
gc_gaussian_k-1_kt-1_l-1_lt-1,lateraloccipital,inferiorparietal,Bivariate,0.0062501091320131385,,140925
te_kraskov_NN-4_k-1_kt-1_l-1_lt-1,lateraloccipital,inferiorparietal,Bivariate,0.014034021503402716,,140925
ce_kozachenko,lateraloccipital,inferiorparietal,Bivariate,1.5214367592436155,,140925
cce_kozachenko,lateraloccipital,inferiorparietal,Bivariate,4.92761847125119,,140925
entropy_kozachenko,fusiform,fusiform,Univariate,1.3635646061311633,fusiform,140925
AIS_kraskov,fusiform,fusiform,Univariate,0.23153092773110284,fusiform,140925
je_kozachenko,lateraloccipital,fusiform,Bivariate,2.662405664805909,,140925
si_kozachenko_k-1,lateraloccipital,fusiform,Bivariate,0.083641948619666,,140925
mi_kraskov_NN-4,lateraloccipital,fusiform,Bivariate,0.12716099266009273,,140925
tlmi_kraskov_NN-4,lateraloccipital,fusiform,Bivariate,0.05302774518340492,,140925
di_kozachenko,lateraloccipital,fusiform,Bivariate,0.5355387810623533,,140925
gc_gaussian_k-1_kt-1_l-1_lt-1,lateraloccipital,fusiform,Bivariate,0.008341864597586419,,140925
te_kraskov_NN-4_k-1_kt-1_l-1_lt-1,lateraloccipital,fusiform,Bivariate,0.0207364672782977,,140925
