Measure,region_from,region_to,Measure_Type,value,Base_Region,Sample_ID
entropy_kozachenko,lateraloccipital,lateraloccipital,Univariate,1.4197467489591613,lateraloccipital,211720
AIS_kraskov,lateraloccipital,lateraloccipital,Univariate,0.6932007540962735,lateraloccipital,211720
entropy_kozachenko,parsopercularis,parsopercularis,Univariate,1.371036885889069,parsopercularis,211720
AIS_kraskov,parsopercularis,parsopercularis,Univariate,0.18756707565650643,parsopercularis,211720
je_kozachenko,lateraloccipital,parsopercularis,Bivariate,2.6949849663059218,,211720
si_kozachenko_k-1,lateraloccipital,parsopercularis,Bivariate,0.04617996841339567,,211720
mi_kraskov_NN-4,lateraloccipital,parsopercularis,Bivariate,0.02204465794178212,,211720
tlmi_kraskov_NN-4,lateraloccipital,parsopercularis,Bivariate,0.026894460835491074,,211720
di_kozachenko,lateraloccipital,parsopercularis,Bivariate,0.17303191270341145,,211720
gc_gaussian_k-1_kt-1_l-1_lt-1,lateraloccipital,parsopercularis,Bivariate,0.0034400844356888604,,211720
te_kraskov_NN-4_k-1_kt-1_l-1_lt-1,lateraloccipital,parsopercularis,Bivariate,-0.003115074792608974,,211720
ce_kozachenko,lateraloccipital,parsopercularis,Bivariate,1.3265606489322752,,211720
cce_kozachenko,lateraloccipital,parsopercularis,Bivariate,6.406074870417596,,211720
entropy_kozachenko,postcentral,postcentral,Univariate,1.4769466548664445,postcentral,211720
AIS_kraskov,postcentral,postcentral,Univariate,0.38309062348891576,postcentral,211720
je_kozachenko,lateraloccipital,postcentral,Bivariate,2.798089442062182,,211720
si_kozachenko_k-1,lateraloccipital,postcentral,Bivariate,0.17194749523143438,,211720
mi_kraskov_NN-4,lateraloccipital,postcentral,Bivariate,0.078886395747503,,211720
tlmi_kraskov_NN-4,lateraloccipital,postcentral,Bivariate,0.07143778971357051,,211720
di_kozachenko,lateraloccipital,postcentral,Bivariate,0.3180360117596024,,211720
gc_gaussian_k-1_kt-1_l-1_lt-1,lateraloccipital,postcentral,Bivariate,0.00405804132007633,,211720
te_kraskov_NN-4_k-1_kt-1_l-1_lt-1,lateraloccipital,postcentral,Bivariate,-0.002076063506866177,,211720
ce_kozachenko,lateraloccipital,postcentral,Bivariate,1.4296469351641652,,211720
cce_kozachenko,lateraloccipital,postcentral,Bivariate,5.651374090416484,,211720
entropy_kozachenko,isthmuscingulate,isthmuscingulate,Univariate,1.4201431944723044,isthmuscingulate,211720
AIS_kraskov,isthmuscingulate,isthmuscingulate,Univariate,0.06271555189924705,isthmuscingulate,211720
je_kozachenko,lateraloccipital,isthmuscingulate,Bivariate,2.774651694340727,,211720
si_kozachenko_k-1,lateraloccipital,isthmuscingulate,Bivariate,0.10108901338900944,,211720
mi_kraskov_NN-4,lateraloccipital,isthmuscingulate,Bivariate,0.04941849688792033,,211720
tlmi_kraskov_NN-4,lateraloccipital,isthmuscingulate,Bivariate,0.017997243678255614,,211720
di_kozachenko,lateraloccipital,isthmuscingulate,Bivariate,-0.15796657107981993,,211720
gc_gaussian_k-1_kt-1_l-1_lt-1,lateraloccipital,isthmuscingulate,Bivariate,0.0038938062968945073,,211720
te_kraskov_NN-4_k-1_kt-1_l-1_lt-1,lateraloccipital,isthmuscingulate,Bivariate,-0.01447648808010471,,211720
ce_kozachenko,lateraloccipital,isthmuscingulate,Bivariate,1.4061570773931398,,211720
cce_kozachenko,lateraloccipital,isthmuscingulate,Bivariate,6.938476023737818,,211720
entropy_kozachenko,posteriorcingulate,posteriorcingulate,Univariate,1.3508146859570207,posteriorcingulate,211720
AIS_kraskov,posteriorcingulate,posteriorcingulate,Univariate,0.05633445806379278,posteriorcingulate,211720
je_kozachenko,lateraloccipital,posteriorcingulate,Bivariate,2.8226602125203484,,211720
si_kozachenko_k-1,lateraloccipital,posteriorcingulate,Bivariate,0.1281289088161972,,211720
mi_kraskov_NN-4,lateraloccipital,posteriorcingulate,Bivariate,0.023643060850275788,,211720
tlmi_kraskov_NN-4,lateraloccipital,posteriorcingulate,Bivariate,0.01005653031541165,,211720
di_kozachenko,lateraloccipital,posteriorcingulate,Bivariate,-0.36455287278278536,,211720
