Measure,region_from,region_to,Measure_Type,value,Base_Region,Sample_ID
entropy_kozachenko,lateraloccipital,lateraloccipital,Univariate,1.422077388533575,lateraloccipital,123925
AIS_kraskov,lateraloccipital,lateraloccipital,Univariate,0.5302679145820841,lateraloccipital,123925
entropy_kozachenko,parsopercularis,parsopercularis,Univariate,1.3741367455020468,parsopercularis,123925
AIS_kraskov,parsopercularis,parsopercularis,Univariate,0.24936813563291604,parsopercularis,123925
je_kozachenko,lateraloccipital,parsopercularis,Bivariate,2.812440913484265,,123925
si_kozachenko_k-1,lateraloccipital,parsopercularis,Bivariate,0.06830277405603757,,123925
mi_kraskov_NN-4,lateraloccipital,parsopercularis,Bivariate,-0.010611252602288346,,123925
tlmi_kraskov_NN-4,lateraloccipital,parsopercularis,Bivariate,0.0056633351353596595,,123925
di_kozachenko,lateraloccipital,parsopercularis,Bivariate,0.2261033815465181,,123925
gc_gaussian_k-1_kt-1_l-1_lt-1,lateraloccipital,parsopercularis,Bivariate,2.9775832986860697e-05,,123925
te_kraskov_NN-4_k-1_kt-1_l-1_lt-1,lateraloccipital,parsopercularis,Bivariate,0.035128550373628054,,123925
ce_kozachenko,lateraloccipital,parsopercularis,Bivariate,1.3142403858100207,,123925
cce_kozachenko,lateraloccipital,parsopercularis,Bivariate,6.050325861951826,,123925
entropy_kozachenko,postcentral,postcentral,Univariate,1.4886390723292449,postcentral,123925
AIS_kraskov,postcentral,postcentral,Univariate,0.5366094308715512,postcentral,123925
je_kozachenko,lateraloccipital,postcentral,Bivariate,2.8591264349761363,,123925
si_kozachenko_k-1,lateraloccipital,postcentral,Bivariate,0.14012975341446987,,123925
mi_kraskov_NN-4,lateraloccipital,postcentral,Bivariate,0.023982032921368912,,123925
tlmi_kraskov_NN-4,lateraloccipital,postcentral,Bivariate,0.013079568603215463,,123925
di_kozachenko,lateraloccipital,postcentral,Bivariate,0.5412338826342529,,123925
gc_gaussian_k-1_kt-1_l-1_lt-1,lateraloccipital,postcentral,Bivariate,5.263749850225226e-06,,123925
te_kraskov_NN-4_k-1_kt-1_l-1_lt-1,lateraloccipital,postcentral,Bivariate,0.0014867362579851218,,123925
ce_kozachenko,lateraloccipital,postcentral,Bivariate,1.3609208689487384,,123925
cce_kozachenko,lateraloccipital,postcentral,Bivariate,5.126385562494589,,123925
entropy_kozachenko,isthmuscingulate,isthmuscingulate,Univariate,1.4370755778191633,isthmuscingulate,123925
AIS_kraskov,isthmuscingulate,isthmuscingulate,Univariate,0.1109770707002582,isthmuscingulate,123925
je_kozachenko,lateraloccipital,isthmuscingulate,Bivariate,2.848340437705725,,123925
si_kozachenko_k-1,lateraloccipital,isthmuscingulate,Bivariate,0.14281918253167136,,123925
mi_kraskov_NN-4,lateraloccipital,isthmuscingulate,Bivariate,-0.023415267340508805,,123925
tlmi_kraskov_NN-4,lateraloccipital,isthmuscingulate,Bivariate,-0.022576641182707746,,123925
di_kozachenko,lateraloccipital,isthmuscingulate,Bivariate,-0.14662055906897642,,123925
gc_gaussian_k-1_kt-1_l-1_lt-1,lateraloccipital,isthmuscingulate,Bivariate,0.0008554469166058137,,123925
te_kraskov_NN-4_k-1_kt-1_l-1_lt-1,lateraloccipital,isthmuscingulate,Bivariate,-0.012479987229754297,,123925
ce_kozachenko,lateraloccipital,isthmuscingulate,Bivariate,1.3501402160755718,,123925
cce_kozachenko,lateraloccipital,isthmuscingulate,Bivariate,6.6655162899811184,,123925
entropy_kozachenko,posteriorcingulate,posteriorcingulate,Univariate,1.428260366405489,posteriorcingulate,123925
AIS_kraskov,posteriorcingulate,posteriorcingulate,Univariate,0.12083977277861191,posteriorcingulate,123925
je_kozachenko,lateraloccipital,posteriorcingulate,Bivariate,2.793162047147002,,123925
si_kozachenko_k-1,lateraloccipital,posteriorcingulate,Bivariate,-0.049098196520120485,,123925
mi_kraskov_NN-4,lateraloccipital,posteriorcingulate,Bivariate,0.0170012508561026,,123925
tlmi_kraskov_NN-4,lateraloccipital,posteriorcingulate,Bivariate,0.011949967385350035,,123925
di_kozachenko,lateraloccipital,posteriorcingulate,Bivariate,-0.008168008667665205,,123925
gc_gaussian_k-1_kt-1_l-1_lt-1,lateraloccipital,posteriorcingulate,Bivariate,6.15304554110485e-05,,123925
te_kraskov_NN-4_k-1_kt-1_l-1_lt-1,lateraloccipital,posteriorcingulate,Bivariate,-0.006314358337993431,,123925
ce_kozachenko,lateraloccipital,posteriorcingulate,Bivariate,1.2949871815090535,,123925
cce_kozachenko,lateraloccipital,posteriorcingulate,Bivariate,6.825677392262444,,123925
entropy_kozachenko,inferiortemporal,inferiortemporal,Univariate,1.4505088016099448,inferiortemporal,123925
AIS_kraskov,inferiortemporal,inferiortemporal,Univariate,0.0649986052267959,inferiortemporal,123925
je_kozachenko,lateraloccipital,inferiortemporal,Bivariate,2.861391234121044,,123925
si_kozachenko_k-1,lateraloccipital,inferiortemporal,Bivariate,-0.008908873082865032,,123925
mi_kraskov_NN-4,lateraloccipital,inferiortemporal,Bivariate,0.019565246904631906,,123925
