Measure,region_from,region_to,Measure_Type,value,Base_Region,Sample_ID
entropy_kozachenko,lateraloccipital,lateraloccipital,Univariate,1.3627854610877028,lateraloccipital,115320
AIS_kraskov,lateraloccipital,lateraloccipital,Univariate,0.36122526221166407,lateraloccipital,115320
entropy_kozachenko,parsopercularis,parsopercularis,Univariate,1.3464939951482249,parsopercularis,115320
AIS_kraskov,parsopercularis,parsopercularis,Univariate,0.05436328636452892,parsopercularis,115320
je_kozachenko,lateraloccipital,parsopercularis,Bivariate,2.859904768191227,,115320
si_kozachenko_k-1,lateraloccipital,parsopercularis,Bivariate,0.23155952660515888,,115320
mi_kraskov_NN-4,lateraloccipital,parsopercularis,Bivariate,0.01386784805658614,,115320
tlmi_kraskov_NN-4,lateraloccipital,parsopercularis,Bivariate,0.031898241873550504,,115320
di_kozachenko,lateraloccipital,parsopercularis,Bivariate,-0.07823106293733595,,115320
gc_gaussian_k-1_kt-1_l-1_lt-1,lateraloccipital,parsopercularis,Bivariate,0.0008427823519624141,,115320
te_kraskov_NN-4_k-1_kt-1_l-1_lt-1,lateraloccipital,parsopercularis,Bivariate,0.008393780061390688,,115320
ce_kozachenko,lateraloccipital,parsopercularis,Bivariate,1.4646649985053908,,115320
cce_kozachenko,lateraloccipital,parsopercularis,Bivariate,6.896368287755056,,115320
entropy_kozachenko,postcentral,postcentral,Univariate,1.4083049482999863,postcentral,115320
AIS_kraskov,postcentral,postcentral,Univariate,0.3410217607710644,postcentral,115320
je_kozachenko,lateraloccipital,postcentral,Bivariate,2.801970883891975,,115320
si_kozachenko_k-1,lateraloccipital,postcentral,Bivariate,-0.12461190429009283,,115320
mi_kraskov_NN-4,lateraloccipital,postcentral,Bivariate,-0.02180963159448801,,115320
tlmi_kraskov_NN-4,lateraloccipital,postcentral,Bivariate,0.007637006061244733,,115320
di_kozachenko,lateraloccipital,postcentral,Bivariate,0.3527897355222809,,115320
gc_gaussian_k-1_kt-1_l-1_lt-1,lateraloccipital,postcentral,Bivariate,0.0011277575416093297,,115320
te_kraskov_NN-4_k-1_kt-1_l-1_lt-1,lateraloccipital,postcentral,Bivariate,0.0065663428008164715,,115320
ce_kozachenko,lateraloccipital,postcentral,Bivariate,1.4067174288461692,,115320
cce_kozachenko,lateraloccipital,postcentral,Bivariate,5.834163179276093,,115320
entropy_kozachenko,isthmuscingulate,isthmuscingulate,Univariate,1.3688259991882674,isthmuscingulate,115320
AIS_kraskov,isthmuscingulate,isthmuscingulate,Univariate,0.18761235105113094,isthmuscingulate,115320
je_kozachenko,lateraloccipital,isthmuscingulate,Bivariate,2.799555354009461,,115320
si_kozachenko_k-1,lateraloccipital,isthmuscingulate,Bivariate,0.12408114155600591,,115320
mi_kraskov_NN-4,lateraloccipital,isthmuscingulate,Bivariate,0.05996277568414854,,115320
tlmi_kraskov_NN-4,lateraloccipital,isthmuscingulate,Bivariate,0.03180408593929229,,115320
di_kozachenko,lateraloccipital,isthmuscingulate,Bivariate,0.23861658296287835,,115320
gc_gaussian_k-1_kt-1_l-1_lt-1,lateraloccipital,isthmuscingulate,Bivariate,0.006552020190218872,,115320
te_kraskov_NN-4_k-1_kt-1_l-1_lt-1,lateraloccipital,isthmuscingulate,Bivariate,0.027997269455688478,,115320
ce_kozachenko,lateraloccipital,isthmuscingulate,Bivariate,1.404332933541935,,115320
cce_kozachenko,lateraloccipital,isthmuscingulate,Bivariate,6.188200902581196,,115320
entropy_kozachenko,posteriorcingulate,posteriorcingulate,Univariate,1.4195011815013023,posteriorcingulate,115320
AIS_kraskov,posteriorcingulate,posteriorcingulate,Univariate,0.11818623758430125,posteriorcingulate,115320
je_kozachenko,lateraloccipital,posteriorcingulate,Bivariate,2.823341975690164,,115320
si_kozachenko_k-1,lateraloccipital,posteriorcingulate,Bivariate,0.1623382203703181,,115320
mi_kraskov_NN-4,lateraloccipital,posteriorcingulate,Bivariate,0.03871873160304773,,115320
tlmi_kraskov_NN-4,lateraloccipital,posteriorcingulate,Bivariate,0.0010303201018473374,,115320
di_kozachenko,lateraloccipital,posteriorcingulate,Bivariate,0.034766096757881115,,115320
gc_gaussian_k-1_kt-1_l-1_lt-1,lateraloccipital,posteriorcingulate,Bivariate,0.005913648802278308,,115320
te_kraskov_NN-4_k-1_kt-1_l-1_lt-1,lateraloccipital,posteriorcingulate,Bivariate,0.0005753975095377228,,115320
ce_kozachenko,lateraloccipital,posteriorcingulate,Bivariate,1.4280874519524809,,115320
cce_kozachenko,lateraloccipital,posteriorcingulate,Bivariate,6.780210672228307,,115320
entropy_kozachenko,inferiortemporal,inferiortemporal,Univariate,1.3731855242938487,inferiortemporal,115320
AIS_kraskov,inferiortemporal,inferiortemporal,Univariate,0.010123879944753611,inferiortemporal,115320
je_kozachenko,lateraloccipital,inferiortemporal,Bivariate,2.7654678070261007,,115320
si_kozachenko_k-1,lateraloccipital,inferiortemporal,Bivariate,-0.07769692042935494,,115320
mi_kraskov_NN-4,lateraloccipital,inferiortemporal,Bivariate,0.024118253730419426,,115320
tlmi_kraskov_NN-4,lateraloccipital,inferiortemporal,Bivariate,0.008446575548241242,,115320
di_kozachenko,lateraloccipital,inferiortemporal,Bivariate,-0.09167252347909738,,115320
gc_gaussian_k-1_kt-1_l-1_lt-1,lateraloccipital,inferiortemporal,Bivariate,0.0003472401571779974,,115320
te_kraskov_NN-4_k-1_kt-1_l-1_lt-1,lateraloccipital,inferiortemporal,Bivariate,0.032085207565933915,,115320
ce_kozachenko,lateraloccipital,inferiortemporal,Bivariate,1.3702232901286693,,115320
cce_kozachenko,lateraloccipital,inferiortemporal,Bivariate,7.068003382060871,,115320
entropy_kozachenko,inferiorparietal,inferiorparietal,Univariate,1.4709405349154308,inferiorparietal,115320
AIS_kraskov,inferiorparietal,inferiorparietal,Univariate,0.3409965896403415,inferiorparietal,115320
je_kozachenko,lateraloccipital,inferiorparietal,Bivariate,2.768666296045882,,115320
si_kozachenko_k-1,lateraloccipital,inferiorparietal,Bivariate,-0.0403394062686675,,115320
mi_kraskov_NN-4,lateraloccipital,inferiorparietal,Bivariate,0.0851094771423977,,115320
tlmi_kraskov_NN-4,lateraloccipital,inferiorparietal,Bivariate,0.06926216326227674,,115320
di_kozachenko,lateraloccipital,inferiorparietal,Bivariate,0.2098266559069284,,115320
gc_gaussian_k-1_kt-1_l-1_lt-1,lateraloccipital,inferiorparietal,Bivariate,0.005327990608387643,,115320
te_kraskov_NN-4_k-1_kt-1_l-1_lt-1,lateraloccipital,inferiorparietal,Bivariate,-0.004551948254109872,,115320
ce_kozachenko,lateraloccipital,inferiorparietal,Bivariate,1.3734296905756218,,115320
cce_kozachenko,lateraloccipital,inferiorparietal,Bivariate,5.8813669697496955,,115320
entropy_kozachenko,fusiform,fusiform,Univariate,1.40569078197729,fusiform,115320
AIS_kraskov,fusiform,fusiform,Univariate,0.03202611735840932,fusiform,115320
je_kozachenko,lateraloccipital,fusiform,Bivariate,2.845405283948175,,115320
si_kozachenko_k-1,lateraloccipital,fusiform,Bivariate,0.12485328782097538,,115320
mi_kraskov_NN-4,lateraloccipital,fusiform,Bivariate,0.018217695278073265,,115320
tlmi_kraskov_NN-4,lateraloccipital,fusiform,Bivariate,-0.0029574541073191796,,115320
di_kozachenko,lateraloccipital,fusiform,Bivariate,-0.06781881609934715,,115320
gc_gaussian_k-1_kt-1_l-1_lt-1,lateraloccipital,fusiform,Bivariate,0.006972542206231125,,115320
te_kraskov_NN-4_k-1_kt-1_l-1_lt-1,lateraloccipital,fusiform,Bivariate,0.013001239833214218,,115320
ce_kozachenko,lateraloccipital,fusiform,Bivariate,1.4501467470363196,,115320
cce_kozachenko,lateraloccipital,fusiform,Bivariate,7.0894991061993675,,115320
entropy_kozachenko,lateralorbitofrontal,lateralorbitofrontal,Univariate,1.393889215244057,lateralorbitofrontal,115320
AIS_kraskov,lateralorbitofrontal,lateralorbitofrontal,Univariate,0.060206530330875196,lateralorbitofrontal,115320
je_kozachenko,lateraloccipital,lateralorbitofrontal,Bivariate,2.7692725871347252,,115320
si_kozachenko_k-1,lateraloccipital,lateralorbitofrontal,Bivariate,-0.12348935557321772,,115320
mi_kraskov_NN-4,lateraloccipital,lateralorbitofrontal,Bivariate,-0.038142776790538235,,115320
tlmi_kraskov_NN-4,lateraloccipital,lateralorbitofrontal,Bivariate,0.01075529366511141,,115320
di_kozachenko,lateraloccipital,lateralorbitofrontal,Bivariate,-0.10154304216925247,,115320
gc_gaussian_k-1_kt-1_l-1_lt-1,lateraloccipital,lateralorbitofrontal,Bivariate,0.0015278604889619402,,115320
te_kraskov_NN-4_k-1_kt-1_l-1_lt-1,lateraloccipital,lateralorbitofrontal,Bivariate,0.0026547181307361445,,115320
ce_kozachenko,lateraloccipital,lateralorbitofrontal,Bivariate,1.3740209270475998,,115320
cce_kozachenko,lateraloccipital,lateralorbitofrontal,Bivariate,6.902842982631153,,115320
entropy_kozachenko,precentral,precentral,Univariate,1.460173833646163,precentral,115320
AIS_kraskov,precentral,precentral,Univariate,0.16112831789339488,precentral,115320
je_kozachenko,lateraloccipital,precentral,Bivariate,2.8893569822365808,,115320
si_kozachenko_k-1,lateraloccipital,precentral,Bivariate,0.1622797857814775,,115320
mi_kraskov_NN-4,lateraloccipital,precentral,Bivariate,-0.0062439444577631065,,115320
tlmi_kraskov_NN-4,lateraloccipital,precentral,Bivariate,0.019760814640942925,,115320
di_kozachenko,lateraloccipital,precentral,Bivariate,0.041631008369965805,,115320
gc_gaussian_k-1_kt-1_l-1_lt-1,lateraloccipital,precentral,Bivariate,2.676036680774647e-05,,115320
te_kraskov_NN-4_k-1_kt-1_l-1_lt-1,lateraloccipital,precentral,Bivariate,-0.01424035729453732,,115320
ce_kozachenko,lateraloccipital,precentral,Bivariate,1.4941202227303658,,115320
cce_kozachenko,lateraloccipital,precentral,Bivariate,6.558291582051524,,115320
entropy_kozachenko,rostralmiddlefrontal,rostralmiddlefrontal,Univariate,1.3789139116596543,rostralmiddlefrontal,115320
AIS_kraskov,rostralmiddlefrontal,rostralmiddlefrontal,Univariate,0.1580554739590072,rostralmiddlefrontal,115320
je_kozachenko,lateraloccipital,rostralmiddlefrontal,Bivariate,2.8438716591034914,,115320
si_kozachenko_k-1,lateraloccipital,rostralmiddlefrontal,Bivariate,0.03851858150091081,,115320
mi_kraskov_NN-4,lateraloccipital,rostralmiddlefrontal,Bivariate,-0.009337386828383032,,115320
tlmi_kraskov_NN-4,lateraloccipital,rostralmiddlefrontal,Bivariate,0.027959989515023764,,115320
di_kozachenko,lateraloccipital,rostralmiddlefrontal,Bivariate,0.24978370670889127,,115320
gc_gaussian_k-1_kt-1_l-1_lt-1,lateraloccipital,rostralmiddlefrontal,Bivariate,3.6983097402048054e-06,,115320
te_kraskov_NN-4_k-1_kt-1_l-1_lt-1,lateraloccipital,rostralmiddlefrontal,Bivariate,0.02451897905542677,,115320
ce_kozachenko,lateraloccipital,rostralmiddlefrontal,Bivariate,1.4486220314436555,,115320
cce_kozachenko,lateraloccipital,rostralmiddlefrontal,Bivariate,6.369049941497892,,115320
entropy_kozachenko,lingual,lingual,Univariate,1.4395279056561723,lingual,115320
AIS_kraskov,lingual,lingual,Univariate,0.3198385035814537,lingual,115320
je_kozachenko,lateraloccipital,lingual,Bivariate,2.738348707369789,,115320
si_kozachenko_k-1,lateraloccipital,lingual,Bivariate,0.1659246144527473,,115320
mi_kraskov_NN-4,lateraloccipital,lingual,Bivariate,0.09694726573406776,,115320
tlmi_kraskov_NN-4,lateraloccipital,lingual,Bivariate,0.006125459240577058,,115320
di_kozachenko,lateraloccipital,lingual,Bivariate,0.5221670217666059,,115320
gc_gaussian_k-1_kt-1_l-1_lt-1,lateraloccipital,lingual,Bivariate,0.0002293432772269256,,115320
te_kraskov_NN-4_k-1_kt-1_l-1_lt-1,lateraloccipital,lingual,Bivariate,0.004146184758773375,,115320
ce_kozachenko,lateraloccipital,lingual,Bivariate,1.3431134598989654,,115320
cce_kozachenko,lateraloccipital,lingual,Bivariate,5.633018040130828,,115320
entropy_kozachenko,precuneus,precuneus,Univariate,1.392418227730328,precuneus,115320
AIS_kraskov,precuneus,precuneus,Univariate,0.41647692057737284,precuneus,115320
je_kozachenko,lateraloccipital,precuneus,Bivariate,2.808154218308394,,115320
si_kozachenko_k-1,lateraloccipital,precuneus,Bivariate,0.09554087718607329,,115320
