Measure,region_from,region_to,Measure_Type,value,Base_Region,Sample_ID
entropy_kozachenko,lateraloccipital,lateraloccipital,Univariate,1.418433140564436,lateraloccipital,397760
AIS_kraskov,lateraloccipital,lateraloccipital,Univariate,0.4806621642651505,lateraloccipital,397760
entropy_kozachenko,parsopercularis,parsopercularis,Univariate,1.3975465690158977,parsopercularis,397760
AIS_kraskov,parsopercularis,parsopercularis,Univariate,0.08592978925527994,parsopercularis,397760
je_kozachenko,lateraloccipital,parsopercularis,Bivariate,2.7953335765715264,,397760
si_kozachenko_k-1,lateraloccipital,parsopercularis,Bivariate,-0.09808215819244337,,397760
mi_kraskov_NN-4,lateraloccipital,parsopercularis,Bivariate,-0.012859307879869775,,397760
tlmi_kraskov_NN-4,lateraloccipital,parsopercularis,Bivariate,0.018853487122919788,,397760
di_kozachenko,lateraloccipital,parsopercularis,Bivariate,-0.21313242847410763,,397760
gc_gaussian_k-1_kt-1_l-1_lt-1,lateraloccipital,parsopercularis,Bivariate,0.0008157136792340349,,397760
te_kraskov_NN-4_k-1_kt-1_l-1_lt-1,lateraloccipital,parsopercularis,Bivariate,0.02079084343484361,,397760
ce_kozachenko,lateraloccipital,parsopercularis,Bivariate,1.4220118656802758,,397760
cce_kozachenko,lateraloccipital,parsopercularis,Bivariate,7.007453701511563,,397760
entropy_kozachenko,postcentral,postcentral,Univariate,1.437668829917575,postcentral,397760
AIS_kraskov,postcentral,postcentral,Univariate,0.4390875963710039,postcentral,397760
je_kozachenko,lateraloccipital,postcentral,Bivariate,2.725755812720727,,397760
si_kozachenko_k-1,lateraloccipital,postcentral,Bivariate,-0.0526174346648518,,397760
mi_kraskov_NN-4,lateraloccipital,postcentral,Bivariate,0.085351772230851,,397760
tlmi_kraskov_NN-4,lateraloccipital,postcentral,Bivariate,0.05852077364249553,,397760
di_kozachenko,lateraloccipital,postcentral,Bivariate,0.47673076148899884,,397760
gc_gaussian_k-1_kt-1_l-1_lt-1,lateraloccipital,postcentral,Bivariate,0.0005224720918421829,,397760
te_kraskov_NN-4_k-1_kt-1_l-1_lt-1,lateraloccipital,postcentral,Bivariate,-0.012770804759323795,,397760
ce_kozachenko,lateraloccipital,postcentral,Bivariate,1.352421520136883,,397760
cce_kozachenko,lateraloccipital,postcentral,Bivariate,5.504155181010203,,397760
entropy_kozachenko,isthmuscingulate,isthmuscingulate,Univariate,1.3951873252534197,isthmuscingulate,397760
AIS_kraskov,isthmuscingulate,isthmuscingulate,Univariate,0.08158153088598752,isthmuscingulate,397760
je_kozachenko,lateraloccipital,isthmuscingulate,Bivariate,2.8168539254833536,,397760
si_kozachenko_k-1,lateraloccipital,isthmuscingulate,Bivariate,-0.027614821522470745,,397760
mi_kraskov_NN-4,lateraloccipital,isthmuscingulate,Bivariate,0.015485319802444053,,397760
tlmi_kraskov_NN-4,lateraloccipital,isthmuscingulate,Bivariate,-0.015301347982500602,,397760
di_kozachenko,lateraloccipital,isthmuscingulate,Bivariate,0.2964532125085979,,397760
gc_gaussian_k-1_kt-1_l-1_lt-1,lateraloccipital,isthmuscingulate,Bivariate,0.003014522566479939,,397760
te_kraskov_NN-4_k-1_kt-1_l-1_lt-1,lateraloccipital,isthmuscingulate,Bivariate,-0.021419569196401866,,397760
ce_kozachenko,lateraloccipital,isthmuscingulate,Bivariate,1.4435490422509534,,397760
cce_kozachenko,lateraloccipital,isthmuscingulate,Bivariate,6.5030725947988195,,397760
entropy_kozachenko,posteriorcingulate,posteriorcingulate,Univariate,1.390575925683053,posteriorcingulate,397760
AIS_kraskov,posteriorcingulate,posteriorcingulate,Univariate,-0.03948790534661839,posteriorcingulate,397760
je_kozachenko,lateraloccipital,posteriorcingulate,Bivariate,2.7831747416575534,,397760
si_kozachenko_k-1,lateraloccipital,posteriorcingulate,Bivariate,0.06281343469377054,,397760
mi_kraskov_NN-4,lateraloccipital,posteriorcingulate,Bivariate,0.03921862973693635,,397760
tlmi_kraskov_NN-4,lateraloccipital,posteriorcingulate,Bivariate,-0.0007456316902594295,,397760
di_kozachenko,lateraloccipital,posteriorcingulate,Bivariate,-0.24685745579327012,,397760
gc_gaussian_k-1_kt-1_l-1_lt-1,lateraloccipital,posteriorcingulate,Bivariate,4.995166794774751e-05,,397760
te_kraskov_NN-4_k-1_kt-1_l-1_lt-1,lateraloccipital,posteriorcingulate,Bivariate,0.010502070071638059,,397760
ce_kozachenko,lateraloccipital,posteriorcingulate,Bivariate,1.4098195692433575,,397760
cce_kozachenko,lateraloccipital,posteriorcingulate,Bivariate,7.237312553540566,,397760
entropy_kozachenko,inferiortemporal,inferiortemporal,Univariate,1.3887853165736272,inferiortemporal,397760
AIS_kraskov,inferiortemporal,inferiortemporal,Univariate,-0.014388950473998463,inferiortemporal,397760
je_kozachenko,lateraloccipital,inferiortemporal,Bivariate,2.7841797472244205,,397760
si_kozachenko_k-1,lateraloccipital,inferiortemporal,Bivariate,0.06426613494016431,,397760
mi_kraskov_NN-4,lateraloccipital,inferiortemporal,Bivariate,-0.007814073710536107,,397760
tlmi_kraskov_NN-4,lateraloccipital,inferiortemporal,Bivariate,-0.0390372477859966,,397760
di_kozachenko,lateraloccipital,inferiortemporal,Bivariate,-0.1502100979351937,,397760
gc_gaussian_k-1_kt-1_l-1_lt-1,lateraloccipital,inferiortemporal,Bivariate,0.0006662727339662081,,397760
te_kraskov_NN-4_k-1_kt-1_l-1_lt-1,lateraloccipital,inferiortemporal,Bivariate,-0.021216779182368528,,397760
ce_kozachenko,lateraloccipital,inferiortemporal,Bivariate,1.4108512622250866,,397760
cce_kozachenko,lateraloccipital,inferiortemporal,Bivariate,7.126154780946857,,397760
entropy_kozachenko,inferiorparietal,inferiorparietal,Univariate,1.3955159615160717,inferiorparietal,397760
AIS_kraskov,inferiorparietal,inferiorparietal,Univariate,0.5482301681543991,inferiorparietal,397760
je_kozachenko,lateraloccipital,inferiorparietal,Bivariate,2.797401305213848,,397760
si_kozachenko_k-1,lateraloccipital,inferiorparietal,Bivariate,-0.03677085544696146,,397760
mi_kraskov_NN-4,lateraloccipital,inferiorparietal,Bivariate,-0.0109794607296827,,397760
tlmi_kraskov_NN-4,lateraloccipital,inferiorparietal,Bivariate,-0.012085157528263224,,397760
di_kozachenko,lateraloccipital,inferiorparietal,Bivariate,0.33959386422988125,,397760
gc_gaussian_k-1_kt-1_l-1_lt-1,lateraloccipital,inferiorparietal,Bivariate,0.000522421390447855,,397760
te_kraskov_NN-4_k-1_kt-1_l-1_lt-1,lateraloccipital,inferiorparietal,Bivariate,0.013098231253974024,,397760
ce_kozachenko,lateraloccipital,inferiorparietal,Bivariate,1.424034931666601,,397760
cce_kozachenko,lateraloccipital,inferiorparietal,Bivariate,5.2248330814189625,,397760
entropy_kozachenko,fusiform,fusiform,Univariate,1.3837660228503061,fusiform,397760
AIS_kraskov,fusiform,fusiform,Univariate,0.07148768007705364,fusiform,397760
je_kozachenko,lateraloccipital,fusiform,Bivariate,2.783437885223383,,397760
si_kozachenko_k-1,lateraloccipital,fusiform,Bivariate,0.04510195554456997,,397760
mi_kraskov_NN-4,lateraloccipital,fusiform,Bivariate,0.01927728217485125,,397760
tlmi_kraskov_NN-4,lateraloccipital,fusiform,Bivariate,0.00527000013730472,,397760
di_kozachenko,lateraloccipital,fusiform,Bivariate,-0.07821614730587001,,397760
gc_gaussian_k-1_kt-1_l-1_lt-1,lateraloccipital,fusiform,Bivariate,0.0002745521861234761,,397760
te_kraskov_NN-4_k-1_kt-1_l-1_lt-1,lateraloccipital,fusiform,Bivariate,0.03957806305540834,,397760
ce_kozachenko,lateraloccipital,fusiform,Bivariate,1.4101168089703777,,397760
cce_kozachenko,lateraloccipital,fusiform,Bivariate,6.9647075909923455,,397760
entropy_kozachenko,lateralorbitofrontal,lateralorbitofrontal,Univariate,1.4416618088749003,lateralorbitofrontal,397760
AIS_kraskov,lateralorbitofrontal,lateralorbitofrontal,Univariate,0.0011396792585838256,lateralorbitofrontal,397760
je_kozachenko,lateraloccipital,lateralorbitofrontal,Bivariate,2.8228571537580742,,397760
si_kozachenko_k-1,lateraloccipital,lateralorbitofrontal,Bivariate,0.13099268497236105,,397760
mi_kraskov_NN-4,lateraloccipital,lateralorbitofrontal,Bivariate,-0.04077225831528075,,397760
