Measure,region_from,region_to,Measure_Type,value,Base_Region,Sample_ID
entropy_kozachenko,lateraloccipital,lateraloccipital,Univariate,1.3789153157191203,lateraloccipital,128127
AIS_kraskov,lateraloccipital,lateraloccipital,Univariate,0.7769238999036254,lateraloccipital,128127
entropy_kozachenko,parsopercularis,parsopercularis,Univariate,1.3152536799633854,parsopercularis,128127
AIS_kraskov,parsopercularis,parsopercularis,Univariate,0.23682065467619928,parsopercularis,128127
je_kozachenko,lateraloccipital,parsopercularis,Bivariate,2.825607797411258,,128127
si_kozachenko_k-1,lateraloccipital,parsopercularis,Bivariate,0.055546427174694823,,128127
mi_kraskov_NN-4,lateraloccipital,parsopercularis,Bivariate,0.00818031576840994,,128127
tlmi_kraskov_NN-4,lateraloccipital,parsopercularis,Bivariate,-0.012187645014465787,,128127
di_kozachenko,lateraloccipital,parsopercularis,Bivariate,0.27906887728982355,,128127
gc_gaussian_k-1_kt-1_l-1_lt-1,lateraloccipital,parsopercularis,Bivariate,0.0004321732239817179,,128127
te_kraskov_NN-4_k-1_kt-1_l-1_lt-1,lateraloccipital,parsopercularis,Bivariate,0.021174809215762203,,128127
ce_kozachenko,lateraloccipital,parsopercularis,Bivariate,1.4503152736805283,,128127
cce_kozachenko,lateraloccipital,parsopercularis,Bivariate,6.077385485312208,,128127
entropy_kozachenko,postcentral,postcentral,Univariate,1.4702628337839014,postcentral,128127
AIS_kraskov,postcentral,postcentral,Univariate,0.31361258588038776,postcentral,128127
je_kozachenko,lateraloccipital,postcentral,Bivariate,2.6799423978266126,,128127
si_kozachenko_k-1,lateraloccipital,postcentral,Bivariate,0.002805323772100632,,128127
mi_kraskov_NN-4,lateraloccipital,postcentral,Bivariate,0.04124336452259847,,128127
tlmi_kraskov_NN-4,lateraloccipital,postcentral,Bivariate,-0.0011918405107369523,,128127
di_kozachenko,lateraloccipital,postcentral,Bivariate,0.1882003118658897,,128127
gc_gaussian_k-1_kt-1_l-1_lt-1,lateraloccipital,postcentral,Bivariate,3.207575230522465e-05,,128127
te_kraskov_NN-4_k-1_kt-1_l-1_lt-1,lateraloccipital,postcentral,Bivariate,0.005806233088770929,,128127
ce_kozachenko,lateraloccipital,postcentral,Bivariate,1.3046526565622991,,128127
cce_kozachenko,lateraloccipital,postcentral,Bivariate,5.975715524244476,,128127
entropy_kozachenko,isthmuscingulate,isthmuscingulate,Univariate,1.424087125926552,isthmuscingulate,128127
AIS_kraskov,isthmuscingulate,isthmuscingulate,Univariate,0.1417306765113544,isthmuscingulate,128127
je_kozachenko,lateraloccipital,isthmuscingulate,Bivariate,2.8261539928201462,,128127
si_kozachenko_k-1,lateraloccipital,isthmuscingulate,Bivariate,0.05074710872550048,,128127
mi_kraskov_NN-4,lateraloccipital,isthmuscingulate,Bivariate,0.01563954813778423,,128127
tlmi_kraskov_NN-4,lateraloccipital,isthmuscingulate,Bivariate,-0.00958172462642537,,128127
di_kozachenko,lateraloccipital,isthmuscingulate,Bivariate,-0.34568904885171303,,128127
gc_gaussian_k-1_kt-1_l-1_lt-1,lateraloccipital,isthmuscingulate,Bivariate,0.00013861044485945914,,128127
te_kraskov_NN-4_k-1_kt-1_l-1_lt-1,lateraloccipital,isthmuscingulate,Bivariate,-0.013174755217289613,,128127
ce_kozachenko,lateraloccipital,isthmuscingulate,Bivariate,1.4508714272882766,,128127
cce_kozachenko,lateraloccipital,isthmuscingulate,Bivariate,6.950214981017074,,128127
entropy_kozachenko,posteriorcingulate,posteriorcingulate,Univariate,1.449789837844854,posteriorcingulate,128127
AIS_kraskov,posteriorcingulate,posteriorcingulate,Univariate,0.15109341062124226,posteriorcingulate,128127
je_kozachenko,lateraloccipital,posteriorcingulate,Bivariate,2.8261943072902143,,128127
si_kozachenko_k-1,lateraloccipital,posteriorcingulate,Bivariate,-0.023750149916968777,,128127
mi_kraskov_NN-4,lateraloccipital,posteriorcingulate,Bivariate,0.054067017868469236,,128127
tlmi_kraskov_NN-4,lateraloccipital,posteriorcingulate,Bivariate,0.016018677226307787,,128127
di_kozachenko,lateraloccipital,posteriorcingulate,Bivariate,-0.048680369256897116,,128127
gc_gaussian_k-1_kt-1_l-1_lt-1,lateraloccipital,posteriorcingulate,Bivariate,0.0007105946269840088,,128127
te_kraskov_NN-4_k-1_kt-1_l-1_lt-1,lateraloccipital,posteriorcingulate,Bivariate,-0.011531738906091382,,128127
ce_kozachenko,lateraloccipital,posteriorcingulate,Bivariate,1.450918020895021,,128127
cce_kozachenko,lateraloccipital,posteriorcingulate,Bivariate,6.7547000034473745,,128127
entropy_kozachenko,inferiortemporal,inferiortemporal,Univariate,1.3765089783782471,inferiortemporal,128127
AIS_kraskov,inferiortemporal,inferiortemporal,Univariate,0.08694880919846071,inferiortemporal,128127
je_kozachenko,lateraloccipital,inferiortemporal,Bivariate,2.7778271849196288,,128127
si_kozachenko_k-1,lateraloccipital,inferiortemporal,Bivariate,-0.03473335855302251,,128127
mi_kraskov_NN-4,lateraloccipital,inferiortemporal,Bivariate,0.06782681502280141,,128127
tlmi_kraskov_NN-4,lateraloccipital,inferiortemporal,Bivariate,0.017491800835745863,,128127
di_kozachenko,lateraloccipital,inferiortemporal,Bivariate,-0.280927758072834,,128127
gc_gaussian_k-1_kt-1_l-1_lt-1,lateraloccipital,inferiortemporal,Bivariate,0.0072765905831504284,,128127
te_kraskov_NN-4_k-1_kt-1_l-1_lt-1,lateraloccipital,inferiortemporal,Bivariate,-0.00860907086340812,,128127
ce_kozachenko,lateraloccipital,inferiortemporal,Bivariate,1.4025698048027686,,128127
cce_kozachenko,lateraloccipital,inferiortemporal,Bivariate,7.095137875528493,,128127
entropy_kozachenko,inferiorparietal,inferiorparietal,Univariate,1.4528891617676818,inferiorparietal,128127
AIS_kraskov,inferiorparietal,inferiorparietal,Univariate,0.4196545932330311,inferiorparietal,128127
je_kozachenko,lateraloccipital,inferiorparietal,Bivariate,2.753871503496461,,128127
si_kozachenko_k-1,lateraloccipital,inferiorparietal,Bivariate,0.2612542923815879,,128127
mi_kraskov_NN-4,lateraloccipital,inferiorparietal,Bivariate,0.07543631571852494,,128127
tlmi_kraskov_NN-4,lateraloccipital,inferiorparietal,Bivariate,0.07716068883454241,,128127
di_kozachenko,lateraloccipital,inferiorparietal,Bivariate,0.6063140418632411,,128127
gc_gaussian_k-1_kt-1_l-1_lt-1,lateraloccipital,inferiorparietal,Bivariate,0.0031199357591184017,,128127
te_kraskov_NN-4_k-1_kt-1_l-1_lt-1,lateraloccipital,inferiorparietal,Bivariate,0.0066158502448034895,,128127
ce_kozachenko,lateraloccipital,inferiorparietal,Bivariate,1.3786038266987224,,128127
cce_kozachenko,lateraloccipital,inferiorparietal,Bivariate,5.199299431763215,,128127
entropy_kozachenko,fusiform,fusiform,Univariate,1.408696863760671,fusiform,128127
AIS_kraskov,fusiform,fusiform,Univariate,0.010866656227005222,fusiform,128127
je_kozachenko,lateraloccipital,fusiform,Bivariate,2.8072152444674114,,128127
si_kozachenko_k-1,lateraloccipital,fusiform,Bivariate,0.03317976171402259,,128127
mi_kraskov_NN-4,lateraloccipital,fusiform,Bivariate,0.024466813994523662,,128127
tlmi_kraskov_NN-4,lateraloccipital,fusiform,Bivariate,-0.013654420109274312,,128127
di_kozachenko,lateraloccipital,fusiform,Bivariate,-0.3033952833873146,,128127
gc_gaussian_k-1_kt-1_l-1_lt-1,lateraloccipital,fusiform,Bivariate,0.000775069175201185,,128127
te_kraskov_NN-4_k-1_kt-1_l-1_lt-1,lateraloccipital,fusiform,Bivariate,-0.01476328636823565,,128127
ce_kozachenko,lateraloccipital,fusiform,Bivariate,1.4319172310491566,,128127
cce_kozachenko,lateraloccipital,fusiform,Bivariate,7.3046238850342045,,128127
entropy_kozachenko,lateralorbitofrontal,lateralorbitofrontal,Univariate,1.40422211691609,lateralorbitofrontal,128127
AIS_kraskov,lateralorbitofrontal,lateralorbitofrontal,Univariate,0.02399754195390713,lateralorbitofrontal,128127
je_kozachenko,lateraloccipital,lateralorbitofrontal,Bivariate,2.8144567854158153,,128127
