Measure,region_from,region_to,Measure_Type,value,Base_Region,Sample_ID
entropy_kozachenko,lateraloccipital,lateraloccipital,Univariate,1.416773946502941,lateraloccipital,129028
AIS_kraskov,lateraloccipital,lateraloccipital,Univariate,0.4360115243010627,lateraloccipital,129028
entropy_kozachenko,parsopercularis,parsopercularis,Univariate,1.5001295103771142,parsopercularis,129028
AIS_kraskov,parsopercularis,parsopercularis,Univariate,0.16862311369469918,parsopercularis,129028
je_kozachenko,lateraloccipital,parsopercularis,Bivariate,2.7601613276356685,,129028
si_kozachenko_k-1,lateraloccipital,parsopercularis,Bivariate,0.2439627042314494,,129028
mi_kraskov_NN-4,lateraloccipital,parsopercularis,Bivariate,0.013471734028996707,,129028
tlmi_kraskov_NN-4,lateraloccipital,parsopercularis,Bivariate,0.018446620326225016,,129028
di_kozachenko,lateraloccipital,parsopercularis,Bivariate,0.1563172116667939,,129028
gc_gaussian_k-1_kt-1_l-1_lt-1,lateraloccipital,parsopercularis,Bivariate,0.001087730597699194,,129028
te_kraskov_NN-4_k-1_kt-1_l-1_lt-1,lateraloccipital,parsopercularis,Bivariate,-0.01490243053752427,,129028
ce_kozachenko,lateraloccipital,parsopercularis,Bivariate,1.3395685775572121,,129028
cce_kozachenko,lateraloccipital,parsopercularis,Bivariate,6.4515139161766335,,129028
entropy_kozachenko,postcentral,postcentral,Univariate,1.327155754730203,postcentral,129028
AIS_kraskov,postcentral,postcentral,Univariate,0.37283968671835854,postcentral,129028
je_kozachenko,lateraloccipital,postcentral,Bivariate,2.7327390652392523,,129028
si_kozachenko_k-1,lateraloccipital,postcentral,Bivariate,0.14480273178584335,,129028
mi_kraskov_NN-4,lateraloccipital,postcentral,Bivariate,0.028791813655766774,,129028
tlmi_kraskov_NN-4,lateraloccipital,postcentral,Bivariate,0.03276416121393666,,129028
di_kozachenko,lateraloccipital,postcentral,Bivariate,0.514778864752742,,129028
gc_gaussian_k-1_kt-1_l-1_lt-1,lateraloccipital,postcentral,Bivariate,2.280286042935164e-07,,129028
te_kraskov_NN-4_k-1_kt-1_l-1_lt-1,lateraloccipital,postcentral,Bivariate,0.00677469797621244,,129028
ce_kozachenko,lateraloccipital,postcentral,Bivariate,1.3121547163254426,,129028
cce_kozachenko,lateraloccipital,postcentral,Bivariate,5.4754298801858585,,129028
entropy_kozachenko,isthmuscingulate,isthmuscingulate,Univariate,1.461579363327882,isthmuscingulate,129028
AIS_kraskov,isthmuscingulate,isthmuscingulate,Univariate,0.14063637431183373,isthmuscingulate,129028
je_kozachenko,lateraloccipital,isthmuscingulate,Bivariate,2.8569567144252184,,129028
si_kozachenko_k-1,lateraloccipital,isthmuscingulate,Bivariate,0.1960430370268722,,129028
mi_kraskov_NN-4,lateraloccipital,isthmuscingulate,Bivariate,-0.0015421108347837276,,129028
tlmi_kraskov_NN-4,lateraloccipital,isthmuscingulate,Bivariate,0.010981925561473815,,129028
di_kozachenko,lateraloccipital,isthmuscingulate,Bivariate,0.305995639630698,,129028
gc_gaussian_k-1_kt-1_l-1_lt-1,lateraloccipital,isthmuscingulate,Bivariate,0.0001844737121764452,,129028
te_kraskov_NN-4_k-1_kt-1_l-1_lt-1,lateraloccipital,isthmuscingulate,Bivariate,0.014000641213897769,,129028
ce_kozachenko,lateraloccipital,isthmuscingulate,Bivariate,1.4363508871332074,,129028
cce_kozachenko,lateraloccipital,isthmuscingulate,Bivariate,6.299844560048783,,129028
entropy_kozachenko,posteriorcingulate,posteriorcingulate,Univariate,1.4490798467854917,posteriorcingulate,129028
AIS_kraskov,posteriorcingulate,posteriorcingulate,Univariate,0.03754319833090847,posteriorcingulate,129028
je_kozachenko,lateraloccipital,posteriorcingulate,Bivariate,2.8226534351972803,,129028
si_kozachenko_k-1,lateraloccipital,posteriorcingulate,Bivariate,0.1986779608438538,,129028
mi_kraskov_NN-4,lateraloccipital,posteriorcingulate,Bivariate,0.0016882915932168174,,129028
tlmi_kraskov_NN-4,lateraloccipital,posteriorcingulate,Bivariate,0.03709553969334323,,129028
di_kozachenko,lateraloccipital,posteriorcingulate,Bivariate,0.1007668489724507,,129028
gc_gaussian_k-1_kt-1_l-1_lt-1,lateraloccipital,posteriorcingulate,Bivariate,0.0006265284310164096,,129028
te_kraskov_NN-4_k-1_kt-1_l-1_lt-1,lateraloccipital,posteriorcingulate,Bivariate,-0.014752729541806175,,129028
ce_kozachenko,lateraloccipital,posteriorcingulate,Bivariate,1.402067967906302,,129028
cce_kozachenko,lateraloccipital,posteriorcingulate,Bivariate,6.876910821879601,,129028
entropy_kozachenko,inferiortemporal,inferiortemporal,Univariate,1.3645732642165873,inferiortemporal,129028
AIS_kraskov,inferiortemporal,inferiortemporal,Univariate,0.020719686714967267,inferiortemporal,129028
je_kozachenko,lateraloccipital,inferiortemporal,Bivariate,2.87601176554278,,129028
si_kozachenko_k-1,lateraloccipital,inferiortemporal,Bivariate,0.1439279343882931,,129028
mi_kraskov_NN-4,lateraloccipital,inferiortemporal,Bivariate,-0.007471945989372841,,129028
tlmi_kraskov_NN-4,lateraloccipital,inferiortemporal,Bivariate,-0.005790328469835515,,129028
di_kozachenko,lateraloccipital,inferiortemporal,Bivariate,-0.13993141228132622,,129028
gc_gaussian_k-1_kt-1_l-1_lt-1,lateraloccipital,inferiortemporal,Bivariate,0.0007597328738381075,,129028
te_kraskov_NN-4_k-1_kt-1_l-1_lt-1,lateraloccipital,inferiortemporal,Bivariate,-0.0025926335891715002,,129028
ce_kozachenko,lateraloccipital,inferiortemporal,Bivariate,1.4554171818808226,,129028
cce_kozachenko,lateraloccipital,inferiortemporal,Bivariate,7.030750189106509,,129028
entropy_kozachenko,inferiorparietal,inferiorparietal,Univariate,1.424950543006947,inferiorparietal,129028
AIS_kraskov,inferiorparietal,inferiorparietal,Univariate,0.5369205957938421,inferiorparietal,129028
je_kozachenko,lateraloccipital,inferiorparietal,Bivariate,2.7673428947106165,,129028
si_kozachenko_k-1,lateraloccipital,inferiorparietal,Bivariate,0.18029933877149196,,129028
mi_kraskov_NN-4,lateraloccipital,inferiorparietal,Bivariate,0.09118663209346067,,129028
tlmi_kraskov_NN-4,lateraloccipital,inferiorparietal,Bivariate,0.0658217767296918,,129028
di_kozachenko,lateraloccipital,inferiorparietal,Bivariate,0.6615545191199006,,129028
gc_gaussian_k-1_kt-1_l-1_lt-1,lateraloccipital,inferiorparietal,Bivariate,0.001259994887429675,,129028
te_kraskov_NN-4_k-1_kt-1_l-1_lt-1,lateraloccipital,inferiorparietal,Bivariate,-0.01249451637526433,,129028
ce_kozachenko,lateraloccipital,inferiorparietal,Bivariate,1.3467518059839532,,129028
cce_kozachenko,lateraloccipital,inferiorparietal,Bivariate,4.994749566178577,,129028
entropy_kozachenko,fusiform,fusiform,Univariate,1.334999030978567,fusiform,129028
AIS_kraskov,fusiform,fusiform,Univariate,0.009868817088243276,fusiform,129028
je_kozachenko,lateraloccipital,fusiform,Bivariate,2.722752021896216,,129028
si_kozachenko_k-1,lateraloccipital,fusiform,Bivariate,0.17993649201344164,,129028
mi_kraskov_NN-4,lateraloccipital,fusiform,Bivariate,0.08057374783174076,,129028
tlmi_kraskov_NN-4,lateraloccipital,fusiform,Bivariate,0.0008411106759300679,,129028
di_kozachenko,lateraloccipital,fusiform,Bivariate,0.24995009242978394,,129028
gc_gaussian_k-1_kt-1_l-1_lt-1,lateraloccipital,fusiform,Bivariate,0.018251238458915717,,129028
te_kraskov_NN-4_k-1_kt-1_l-1_lt-1,lateraloccipital,fusiform,Bivariate,0.014688884230387611,,129028
ce_kozachenko,lateraloccipital,fusiform,Bivariate,1.3021761077524148,,129028
cce_kozachenko,lateraloccipital,fusiform,Bivariate,6.723841313164508,,129028
entropy_kozachenko,lateralorbitofrontal,lateralorbitofrontal,Univariate,1.3839056280417559,lateralorbitofrontal,129028
AIS_kraskov,lateralorbitofrontal,lateralorbitofrontal,Univariate,-0.017381403622827918,lateralorbitofrontal,129028
je_kozachenko,lateraloccipital,lateralorbitofrontal,Bivariate,2.751452534154421,,129028
si_kozachenko_k-1,lateraloccipital,lateralorbitofrontal,Bivariate,0.1613181787866904,,129028
mi_kraskov_NN-4,lateraloccipital,lateralorbitofrontal,Bivariate,-0.0009080779912054027,,129028
tlmi_kraskov_NN-4,lateraloccipital,lateralorbitofrontal,Bivariate,-0.01391619978683778,,129028
di_kozachenko,lateraloccipital,lateralorbitofrontal,Bivariate,0.18290020264537077,,129028
gc_gaussian_k-1_kt-1_l-1_lt-1,lateraloccipital,lateralorbitofrontal,Bivariate,0.0027023910476474413,,129028
te_kraskov_NN-4_k-1_kt-1_l-1_lt-1,lateraloccipital,lateralorbitofrontal,Bivariate,0.027690788646404618,,129028
ce_kozachenko,lateraloccipital,lateralorbitofrontal,Bivariate,1.3308605514424916,,129028
cce_kozachenko,lateraloccipital,lateralorbitofrontal,Bivariate,6.813275090775328,,129028
entropy_kozachenko,precentral,precentral,Univariate,1.4613982218877863,precentral,129028
AIS_kraskov,precentral,precentral,Univariate,0.3350468584100197,precentral,129028
je_kozachenko,lateraloccipital,precentral,Bivariate,2.8206412343457967,,129028
si_kozachenko_k-1,lateraloccipital,precentral,Bivariate,0.1304850310695289,,129028
mi_kraskov_NN-4,lateraloccipital,precentral,Bivariate,-0.005221913025227565,,129028
tlmi_kraskov_NN-4,lateraloccipital,precentral,Bivariate,0.02511086918102201,,129028
di_kozachenko,lateraloccipital,precentral,Bivariate,0.40279910571457744,,129028
gc_gaussian_k-1_kt-1_l-1_lt-1,lateraloccipital,precentral,Bivariate,0.0005279910252112124,,129028
te_kraskov_NN-4_k-1_kt-1_l-1_lt-1,lateraloccipital,precentral,Bivariate,-0.0077398955466787545,,129028
ce_kozachenko,lateraloccipital,precentral,Bivariate,1.4000627989305356,,129028
cce_kozachenko,lateraloccipital,precentral,Bivariate,5.838142271076213,,129028
entropy_kozachenko,rostralmiddlefrontal,rostralmiddlefrontal,Univariate,1.4370956095257341,rostralmiddlefrontal,129028
AIS_kraskov,rostralmiddlefrontal,rostralmiddlefrontal,Univariate,0.5333838818793515,rostralmiddlefrontal,129028
je_kozachenko,lateraloccipital,rostralmiddlefrontal,Bivariate,2.770521839919557,,129028
si_kozachenko_k-1,lateraloccipital,rostralmiddlefrontal,Bivariate,0.18566483352429541,,129028
mi_kraskov_NN-4,lateraloccipital,rostralmiddlefrontal,Bivariate,0.1064961957999131,,129028
tlmi_kraskov_NN-4,lateraloccipital,rostralmiddlefrontal,Bivariate,0.06594438924607715,,129028
di_kozachenko,lateraloccipital,rostralmiddlefrontal,Bivariate,0.6385907223592637,,129028
gc_gaussian_k-1_kt-1_l-1_lt-1,lateraloccipital,rostralmiddlefrontal,Bivariate,0.008306167021502393,,129028
te_kraskov_NN-4_k-1_kt-1_l-1_lt-1,lateraloccipital,rostralmiddlefrontal,Bivariate,0.004292966635324191,,129028
ce_kozachenko,lateraloccipital,rostralmiddlefrontal,Bivariate,1.3499306444725065,,129028
cce_kozachenko,lateraloccipital,rostralmiddlefrontal,Bivariate,4.964193597546895,,129028
entropy_kozachenko,lingual,lingual,Univariate,1.4476735858559477,lingual,129028
AIS_kraskov,lingual,lingual,Univariate,0.3363938163917064,lingual,129028
je_kozachenko,lateraloccipital,lingual,Bivariate,2.6818699397382244,,129028
si_kozachenko_k-1,lateraloccipital,lingual,Bivariate,-0.03834611258244314,,129028
mi_kraskov_NN-4,lateraloccipital,lingual,Bivariate,0.08672031021167648,,129028
tlmi_kraskov_NN-4,lateraloccipital,lingual,Bivariate,0.00027508120310315576,,129028
di_kozachenko,lateraloccipital,lingual,Bivariate,0.6519500845065567,,129028
gc_gaussian_k-1_kt-1_l-1_lt-1,lateraloccipital,lingual,Bivariate,0.003781941790194159,,129028
te_kraskov_NN-4_k-1_kt-1_l-1_lt-1,lateraloccipital,lingual,Bivariate,-0.00040389301940546574,,129028
ce_kozachenko,lateraloccipital,lingual,Bivariate,1.261276057293149,,129028
cce_kozachenko,lateraloccipital,lingual,Bivariate,5.574263592439573,,129028
entropy_kozachenko,precuneus,precuneus,Univariate,1.4531158932872028,precuneus,129028
AIS_kraskov,precuneus,precuneus,Univariate,0.28984116663125725,precuneus,129028
je_kozachenko,lateraloccipital,precuneus,Bivariate,2.8680309436857416,,129028
si_kozachenko_k-1,lateraloccipital,precuneus,Bivariate,0.2294998459999973,,129028
mi_kraskov_NN-4,lateraloccipital,precuneus,Bivariate,0.017782527085609345,,129028
tlmi_kraskov_NN-4,lateraloccipital,precuneus,Bivariate,0.002910341617440082,,129028
di_kozachenko,lateraloccipital,precuneus,Bivariate,0.3345673417106534,,129028
gc_gaussian_k-1_kt-1_l-1_lt-1,lateraloccipital,precuneus,Bivariate,6.502197023797353e-05,,129028
te_kraskov_NN-4_k-1_kt-1_l-1_lt-1,lateraloccipital,precuneus,Bivariate,-0.007176168260655036,,129028
ce_kozachenko,lateraloccipital,precuneus,Bivariate,1.4474329647751776,,129028
cce_kozachenko,lateraloccipital,precuneus,Bivariate,5.851621883966143,,129028
entropy_kozachenko,caudalmiddlefrontal,caudalmiddlefrontal,Univariate,1.4181640455408253,caudalmiddlefrontal,129028
AIS_kraskov,caudalmiddlefrontal,caudalmiddlefrontal,Univariate,0.21116263604629015,caudalmiddlefrontal,129028
je_kozachenko,lateraloccipital,caudalmiddlefrontal,Bivariate,2.759513209504789,,129028
si_kozachenko_k-1,lateraloccipital,caudalmiddlefrontal,Bivariate,0.17737723411288409,,129028
mi_kraskov_NN-4,lateraloccipital,caudalmiddlefrontal,Bivariate,0.04116210672137832,,129028
tlmi_kraskov_NN-4,lateraloccipital,caudalmiddlefrontal,Bivariate,0.0516697911587265,,129028
di_kozachenko,lateraloccipital,caudalmiddlefrontal,Bivariate,0.4321519013692825,,129028
gc_gaussian_k-1_kt-1_l-1_lt-1,lateraloccipital,caudalmiddlefrontal,Bivariate,0.008888725998046446,,129028
te_kraskov_NN-4_k-1_kt-1_l-1_lt-1,lateraloccipital,caudalmiddlefrontal,Bivariate,0.03423662624454682,,129028
ce_kozachenko,lateraloccipital,caudalmiddlefrontal,Bivariate,1.338923683242832,,129028
cce_kozachenko,lateraloccipital,caudalmiddlefrontal,Bivariate,5.950637067761766,,129028
entropy_kozachenko,parahippocampal,parahippocampal,Univariate,1.3162213636725273,parahippocampal,129028
AIS_kraskov,parahippocampal,parahippocampal,Univariate,-0.013149422156159218,parahippocampal,129028
je_kozachenko,lateraloccipital,parahippocampal,Bivariate,2.8030141613996915,,129028
si_kozachenko_k-1,lateraloccipital,parahippocampal,Bivariate,0.09746977999017803,,129028
mi_kraskov_NN-4,lateraloccipital,parahippocampal,Bivariate,0.0021600484622403826,,129028
tlmi_kraskov_NN-4,lateraloccipital,parahippocampal,Bivariate,0.030043210571598422,,129028
di_kozachenko,lateraloccipital,parahippocampal,Bivariate,-0.005547253182009548,,129028
gc_gaussian_k-1_kt-1_l-1_lt-1,lateraloccipital,parahippocampal,Bivariate,0.00039217060928721395,,129028
te_kraskov_NN-4_k-1_kt-1_l-1_lt-1,lateraloccipital,parahippocampal,Bivariate,0.0015540980224071355,,129028
ce_kozachenko,lateraloccipital,parahippocampal,Bivariate,1.3824316347729488,,129028
cce_kozachenko,lateraloccipital,parahippocampal,Bivariate,7.087185751156948,,129028
entropy_kozachenko,medialorbitofrontal,medialorbitofrontal,Univariate,1.405154204584857,medialorbitofrontal,129028
AIS_kraskov,medialorbitofrontal,medialorbitofrontal,Univariate,0.09931770251357275,medialorbitofrontal,129028
je_kozachenko,lateraloccipital,medialorbitofrontal,Bivariate,2.8090685430268034,,129028
si_kozachenko_k-1,lateraloccipital,medialorbitofrontal,Bivariate,0.0927710441859344,,129028
mi_kraskov_NN-4,lateraloccipital,medialorbitofrontal,Bivariate,0.01337593491908784,,129028
tlmi_kraskov_NN-4,lateraloccipital,medialorbitofrontal,Bivariate,-0.015805110937685996,,129028
di_kozachenko,lateraloccipital,medialorbitofrontal,Bivariate,0.16397479807170434,,129028
gc_gaussian_k-1_kt-1_l-1_lt-1,lateraloccipital,medialorbitofrontal,Bivariate,0.0004303748269564918,,129028
te_kraskov_NN-4_k-1_kt-1_l-1_lt-1,lateraloccipital,medialorbitofrontal,Bivariate,0.01638537552932262,,129028
ce_kozachenko,lateraloccipital,medialorbitofrontal,Bivariate,1.3884864853094014,,129028
cce_kozachenko,lateraloccipital,medialorbitofrontal,Bivariate,6.630128532014782,,129028
entropy_kozachenko,bankssts,bankssts,Univariate,1.3977150042558266,bankssts,129028
AIS_kraskov,bankssts,bankssts,Univariate,0.15763901118016044,bankssts,129028
je_kozachenko,lateraloccipital,bankssts,Bivariate,2.8258227676606675,,129028
si_kozachenko_k-1,lateraloccipital,bankssts,Bivariate,0.139761583307616,,129028
mi_kraskov_NN-4,lateraloccipital,bankssts,Bivariate,-0.0004567141137279407,,129028
tlmi_kraskov_NN-4,lateraloccipital,bankssts,Bivariate,-0.0002004612478962997,,129028
di_kozachenko,lateraloccipital,bankssts,Bivariate,-0.17823595819882243,,129028
gc_gaussian_k-1_kt-1_l-1_lt-1,lateraloccipital,bankssts,Bivariate,0.00030503487012388796,,129028
te_kraskov_NN-4_k-1_kt-1_l-1_lt-1,lateraloccipital,bankssts,Bivariate,-0.0038548177369888137,,129028
ce_kozachenko,lateraloccipital,bankssts,Bivariate,1.4052359716815004,,129028
cce_kozachenko,lateraloccipital,bankssts,Bivariate,6.777408089401996,,129028
entropy_kozachenko,superiorfrontal,superiorfrontal,Univariate,1.4365728777357605,superiorfrontal,129028
AIS_kraskov,superiorfrontal,superiorfrontal,Univariate,0.46069393925960167,superiorfrontal,129028
je_kozachenko,lateraloccipital,superiorfrontal,Bivariate,2.835458475724844,,129028
si_kozachenko_k-1,lateraloccipital,superiorfrontal,Bivariate,0.25161149271326844,,129028
mi_kraskov_NN-4,lateraloccipital,superiorfrontal,Bivariate,0.026333332745437588,,129028
tlmi_kraskov_NN-4,lateraloccipital,superiorfrontal,Bivariate,0.06950395980304691,,129028
di_kozachenko,lateraloccipital,superiorfrontal,Bivariate,0.5081929602768156,,129028
gc_gaussian_k-1_kt-1_l-1_lt-1,lateraloccipital,superiorfrontal,Bivariate,7.199061460325044e-06,,129028
te_kraskov_NN-4_k-1_kt-1_l-1_lt-1,lateraloccipital,superiorfrontal,Bivariate,0.019485958149601634,,129028
ce_kozachenko,lateraloccipital,superiorfrontal,Bivariate,1.4148623746826998,,129028
cce_kozachenko,lateraloccipital,superiorfrontal,Bivariate,5.318162102165186,,129028
entropy_kozachenko,superiorparietal,superiorparietal,Univariate,1.3799786213197196,superiorparietal,129028
AIS_kraskov,superiorparietal,superiorparietal,Univariate,0.4595246645465867,superiorparietal,129028
je_kozachenko,lateraloccipital,superiorparietal,Bivariate,2.7565463655706055,,129028
si_kozachenko_k-1,lateraloccipital,superiorparietal,Bivariate,0.20508328009056376,,129028
mi_kraskov_NN-4,lateraloccipital,superiorparietal,Bivariate,0.030851036407886667,,129028
tlmi_kraskov_NN-4,lateraloccipital,superiorparietal,Bivariate,0.007546513073775074,,129028
di_kozachenko,lateraloccipital,superiorparietal,Bivariate,0.6625963967834512,,129028
gc_gaussian_k-1_kt-1_l-1_lt-1,lateraloccipital,superiorparietal,Bivariate,0.00025328280557096775,,129028
te_kraskov_NN-4_k-1_kt-1_l-1_lt-1,lateraloccipital,superiorparietal,Bivariate,0.020809175070384045,,129028
ce_kozachenko,lateraloccipital,superiorparietal,Bivariate,1.3359605887823531,,129028
cce_kozachenko,lateraloccipital,superiorparietal,Bivariate,5.161332727149132,,129028
entropy_kozachenko,entorhinal,entorhinal,Univariate,1.4702554378090857,entorhinal,129028
AIS_kraskov,entorhinal,entorhinal,Univariate,0.004936854170752625,entorhinal,129028
je_kozachenko,lateraloccipital,entorhinal,Bivariate,2.8388776025364355,,129028
si_kozachenko_k-1,lateraloccipital,entorhinal,Bivariate,0.10852225301492657,,129028
mi_kraskov_NN-4,lateraloccipital,entorhinal,Bivariate,0.005723422823127322,,129028
tlmi_kraskov_NN-4,lateraloccipital,entorhinal,Bivariate,0.03766749174702788,,129028
