Measure,region_from,region_to,Measure_Type,value,Base_Region,Sample_ID
entropy_kozachenko,lateraloccipital,lateraloccipital,Univariate,1.4924685078404991,lateraloccipital,654754
AIS_kraskov,lateraloccipital,lateraloccipital,Univariate,0.36318987965054994,lateraloccipital,654754
entropy_kozachenko,parsopercularis,parsopercularis,Univariate,1.4041094985209233,parsopercularis,654754
AIS_kraskov,parsopercularis,parsopercularis,Univariate,0.20888337782454425,parsopercularis,654754
je_kozachenko,lateraloccipital,parsopercularis,Bivariate,2.810809271018566,,654754
si_kozachenko_k-1,lateraloccipital,parsopercularis,Bivariate,-0.03762327316238823,,654754
mi_kraskov_NN-4,lateraloccipital,parsopercularis,Bivariate,-0.007281341517364481,,654754
tlmi_kraskov_NN-4,lateraloccipital,parsopercularis,Bivariate,0.00021912562428205717,,654754
di_kozachenko,lateraloccipital,parsopercularis,Bivariate,0.283500729870962,,654754
gc_gaussian_k-1_kt-1_l-1_lt-1,lateraloccipital,parsopercularis,Bivariate,2.4134093023413177e-05,,654754
te_kraskov_NN-4_k-1_kt-1_l-1_lt-1,lateraloccipital,parsopercularis,Bivariate,0.01525877758294314,,654754
ce_kozachenko,lateraloccipital,parsopercularis,Bivariate,1.4013982904269011,,654754
cce_kozachenko,lateraloccipital,parsopercularis,Bivariate,6.202726254471392,,654754
entropy_kozachenko,postcentral,postcentral,Univariate,1.4181594736281902,postcentral,654754
AIS_kraskov,postcentral,postcentral,Univariate,0.4433050984090947,postcentral,654754
je_kozachenko,lateraloccipital,postcentral,Bivariate,2.7795124522464234,,654754
si_kozachenko_k-1,lateraloccipital,postcentral,Bivariate,-0.052392666348129335,,654754
mi_kraskov_NN-4,lateraloccipital,postcentral,Bivariate,0.015739671243226283,,654754
tlmi_kraskov_NN-4,lateraloccipital,postcentral,Bivariate,0.01505087142362882,,654754
di_kozachenko,lateraloccipital,postcentral,Bivariate,0.7014103491297989,,654754
gc_gaussian_k-1_kt-1_l-1_lt-1,lateraloccipital,postcentral,Bivariate,4.347386521803207e-05,,654754
te_kraskov_NN-4_k-1_kt-1_l-1_lt-1,lateraloccipital,postcentral,Bivariate,0.0015211505043803975,,654754
ce_kozachenko,lateraloccipital,postcentral,Bivariate,1.3701059596658616,,654754
cce_kozachenko,lateraloccipital,postcentral,Bivariate,5.162804160903104,,654754
entropy_kozachenko,isthmuscingulate,isthmuscingulate,Univariate,1.416865260855464,isthmuscingulate,654754
AIS_kraskov,isthmuscingulate,isthmuscingulate,Univariate,0.05343823403309145,isthmuscingulate,654754
je_kozachenko,lateraloccipital,isthmuscingulate,Bivariate,2.8297289596264643,,654754
si_kozachenko_k-1,lateraloccipital,isthmuscingulate,Bivariate,-0.12324636075581408,,654754
mi_kraskov_NN-4,lateraloccipital,isthmuscingulate,Bivariate,0.01968472073957095,,654754
tlmi_kraskov_NN-4,lateraloccipital,isthmuscingulate,Bivariate,0.009141450058310241,,654754
di_kozachenko,lateraloccipital,isthmuscingulate,Bivariate,-0.09381035883433064,,654754
gc_gaussian_k-1_kt-1_l-1_lt-1,lateraloccipital,isthmuscingulate,Bivariate,0.002054405815088813,,654754
te_kraskov_NN-4_k-1_kt-1_l-1_lt-1,lateraloccipital,isthmuscingulate,Bivariate,-0.011593388008747318,,654754
ce_kozachenko,lateraloccipital,isthmuscingulate,Bivariate,1.4202733039628934,,654754
cce_kozachenko,lateraloccipital,isthmuscingulate,Bivariate,6.9646738098332985,,654754
entropy_kozachenko,posteriorcingulate,posteriorcingulate,Univariate,1.4248756187287217,posteriorcingulate,654754
AIS_kraskov,posteriorcingulate,posteriorcingulate,Univariate,0.13318495187867008,posteriorcingulate,654754
je_kozachenko,lateraloccipital,posteriorcingulate,Bivariate,2.80408762727784,,654754
si_kozachenko_k-1,lateraloccipital,posteriorcingulate,Bivariate,-0.09872277715614208,,654754
mi_kraskov_NN-4,lateraloccipital,posteriorcingulate,Bivariate,0.025120819434123476,,654754
tlmi_kraskov_NN-4,lateraloccipital,posteriorcingulate,Bivariate,0.030636291576367825,,654754
di_kozachenko,lateraloccipital,posteriorcingulate,Bivariate,-0.1168425171767451,,654754
gc_gaussian_k-1_kt-1_l-1_lt-1,lateraloccipital,posteriorcingulate,Bivariate,0.002440506879154439,,654754
te_kraskov_NN-4_k-1_kt-1_l-1_lt-1,lateraloccipital,posteriorcingulate,Bivariate,0.03849428968057156,,654754
ce_kozachenko,lateraloccipital,posteriorcingulate,Bivariate,1.394701077303988,,654754
cce_kozachenko,lateraloccipital,posteriorcingulate,Bivariate,6.731375440866104,,654754
entropy_kozachenko,inferiortemporal,inferiortemporal,Univariate,1.4290342132914589,inferiortemporal,654754
