Measure,region_from,region_to,Measure_Type,value,Base_Region,Sample_ID
entropy_kozachenko,lateraloccipital,lateraloccipital,Univariate,1.4213377922586687,lateraloccipital,128632
AIS_kraskov,lateraloccipital,lateraloccipital,Univariate,0.5231510809483444,lateraloccipital,128632
entropy_kozachenko,parsopercularis,parsopercularis,Univariate,1.3981695864113872,parsopercularis,128632
AIS_kraskov,parsopercularis,parsopercularis,Univariate,0.16597361666114008,parsopercularis,128632
je_kozachenko,lateraloccipital,parsopercularis,Bivariate,2.8044103912397964,,128632
si_kozachenko_k-1,lateraloccipital,parsopercularis,Bivariate,0.01716837114148051,,128632
mi_kraskov_NN-4,lateraloccipital,parsopercularis,Bivariate,-0.01231345980163212,,128632
tlmi_kraskov_NN-4,lateraloccipital,parsopercularis,Bivariate,-0.022154815565976094,,128632
di_kozachenko,lateraloccipital,parsopercularis,Bivariate,0.16689497692573063,,128632
gc_gaussian_k-1_kt-1_l-1_lt-1,lateraloccipital,parsopercularis,Bivariate,0.0070893308840922625,,128632
te_kraskov_NN-4_k-1_kt-1_l-1_lt-1,lateraloccipital,parsopercularis,Bivariate,-0.007874225329791207,,128632
ce_kozachenko,lateraloccipital,parsopercularis,Bivariate,1.3937212851360274,,128632
cce_kozachenko,lateraloccipital,parsopercularis,Bivariate,6.409167817290687,,128632
entropy_kozachenko,postcentral,postcentral,Univariate,1.416914222266688,postcentral,128632
AIS_kraskov,postcentral,postcentral,Univariate,0.5867243211117259,postcentral,128632
je_kozachenko,lateraloccipital,postcentral,Bivariate,2.732615993095735,,128632
si_kozachenko_k-1,lateraloccipital,postcentral,Bivariate,-0.12383925501078918,,128632
mi_kraskov_NN-4,lateraloccipital,postcentral,Bivariate,0.04952050987824741,,128632
tlmi_kraskov_NN-4,lateraloccipital,postcentral,Bivariate,0.08702591755080391,,128632
di_kozachenko,lateraloccipital,postcentral,Bivariate,0.6925242219998138,,128632
