Measure,region_from,region_to,Measure_Type,value,Base_Region,Sample_ID
entropy_kozachenko,lateraloccipital,lateraloccipital,Univariate,1.4523613134025553,lateraloccipital,856766
AIS_kraskov,lateraloccipital,lateraloccipital,Univariate,0.5198225485737824,lateraloccipital,856766
entropy_kozachenko,parsopercularis,parsopercularis,Univariate,1.4677468703127134,parsopercularis,856766
AIS_kraskov,parsopercularis,parsopercularis,Univariate,0.29094956005495387,parsopercularis,856766
je_kozachenko,lateraloccipital,parsopercularis,Bivariate,2.7383070460578582,,856766
si_kozachenko_k-1,lateraloccipital,parsopercularis,Bivariate,-0.02658362778922596,,856766
mi_kraskov_NN-4,lateraloccipital,parsopercularis,Bivariate,0.11489961297088058,,856766
tlmi_kraskov_NN-4,lateraloccipital,parsopercularis,Bivariate,0.06581165050028659,,856766
di_kozachenko,lateraloccipital,parsopercularis,Bivariate,0.5678837077677343,,856766
gc_gaussian_k-1_kt-1_l-1_lt-1,lateraloccipital,parsopercularis,Bivariate,0.004032214134672398,,856766
te_kraskov_NN-4_k-1_kt-1_l-1_lt-1,lateraloccipital,parsopercularis,Bivariate,0.0013462825604402262,,856766
ce_kozachenko,lateraloccipital,parsopercularis,Bivariate,1.2756306030531595,,856766
cce_kozachenko,lateraloccipital,parsopercularis,Bivariate,5.844186999591992,,856766
entropy_kozachenko,postcentral,postcentral,Univariate,1.427510604246728,postcentral,856766
AIS_kraskov,postcentral,postcentral,Univariate,0.5568121397580885,postcentral,856766
je_kozachenko,lateraloccipital,postcentral,Bivariate,2.8276284951319073,,856766
si_kozachenko_k-1,lateraloccipital,postcentral,Bivariate,0.030308567097287575,,856766
mi_kraskov_NN-4,lateraloccipital,postcentral,Bivariate,0.021529576287019125,,856766
tlmi_kraskov_NN-4,lateraloccipital,postcentral,Bivariate,0.022615087148206925,,856766
di_kozachenko,lateraloccipital,postcentral,Bivariate,0.7147500678140712,,856766
gc_gaussian_k-1_kt-1_l-1_lt-1,lateraloccipital,postcentral,Bivariate,0.00034129026619400153,,856766
te_kraskov_NN-4_k-1_kt-1_l-1_lt-1,lateraloccipital,postcentral,Bivariate,-0.005778202351537365,,856766
ce_kozachenko,lateraloccipital,postcentral,Bivariate,1.3649735839807051,,856766
cce_kozachenko,lateraloccipital,postcentral,Bivariate,4.773830330812267,,856766
entropy_kozachenko,isthmuscingulate,isthmuscingulate,Univariate,1.3400716501402705,isthmuscingulate,856766
AIS_kraskov,isthmuscingulate,isthmuscingulate,Univariate,0.13393171116363867,isthmuscingulate,856766
je_kozachenko,lateraloccipital,isthmuscingulate,Bivariate,2.811133347108496,,856766
si_kozachenko_k-1,lateraloccipital,isthmuscingulate,Bivariate,-0.07255026219276273,,856766
mi_kraskov_NN-4,lateraloccipital,isthmuscingulate,Bivariate,0.057693898577628744,,856766
tlmi_kraskov_NN-4,lateraloccipital,isthmuscingulate,Bivariate,-0.007416935560199178,,856766
di_kozachenko,lateraloccipital,isthmuscingulate,Bivariate,0.05320806797137578,,856766
gc_gaussian_k-1_kt-1_l-1_lt-1,lateraloccipital,isthmuscingulate,Bivariate,0.0032668333361148658,,856766
te_kraskov_NN-4_k-1_kt-1_l-1_lt-1,lateraloccipital,isthmuscingulate,Bivariate,-0.003921108819847419,,856766
ce_kozachenko,lateraloccipital,isthmuscingulate,Bivariate,1.3484964435995077,,856766
cce_kozachenko,lateraloccipital,isthmuscingulate,Bivariate,6.562405315768707,,856766
entropy_kozachenko,posteriorcingulate,posteriorcingulate,Univariate,1.4274569716313605,posteriorcingulate,856766
AIS_kraskov,posteriorcingulate,posteriorcingulate,Univariate,0.03251660562953518,posteriorcingulate,856766
je_kozachenko,lateraloccipital,posteriorcingulate,Bivariate,2.7658149040233684,,856766
si_kozachenko_k-1,lateraloccipital,posteriorcingulate,Bivariate,-0.08181870079559284,,856766
mi_kraskov_NN-4,lateraloccipital,posteriorcingulate,Bivariate,0.04705134601241312,,856766
tlmi_kraskov_NN-4,lateraloccipital,posteriorcingulate,Bivariate,0.03795610410958794,,856766
