Measure,region_from,region_to,Measure_Type,value,Base_Region
gc_gaussian_k-1_kt-1_l-1_lt-1,lateraloccipital,precentral,Bivariate,4.6991658913009805e-05,
te_kraskov_NN-4_k-1_kt-1_l-1_lt-1,lateraloccipital,precentral,Bivariate,-0.014140260760062473,
ce_kozachenko,lateraloccipital,precentral,Bivariate,1.4615391254616825,
cce_kozachenko,lateraloccipital,precentral,Bivariate,4.6056533772750665,
entropy_kozachenko,superiortemporal,superiortemporal,Univariate,1.3781975360228218,superiortemporal
AIS_kraskov,superiortemporal,superiortemporal,Univariate,0.11734754369633649,superiortemporal
je_kozachenko,lateraloccipital,superiortemporal,Bivariate,2.842054349266187,
si_kozachenko_k-1,lateraloccipital,superiortemporal,Bivariate,-0.017095323844269483,
mi_kraskov_NN-4,lateraloccipital,superiortemporal,Bivariate,7.247818654576577e-05,
tlmi_kraskov_NN-4,lateraloccipital,superiortemporal,Bivariate,-0.0020894037429268764,
di_kozachenko,lateraloccipital,superiortemporal,Bivariate,2.296707085837708,
gc_gaussian_k-1_kt-1_l-1_lt-1,lateraloccipital,superiortemporal,Bivariate,0.00027511210402245855,
te_kraskov_NN-4_k-1_kt-1_l-1_lt-1,lateraloccipital,superiortemporal,Bivariate,0.006857127702347476,
ce_kozachenko,lateraloccipital,superiortemporal,Bivariate,1.4331758629970035,
cce_kozachenko,lateraloccipital,superiortemporal,Bivariate,4.463689314397069,
entropy_kozachenko,entorhinal,entorhinal,Univariate,1.4084065458411201,entorhinal
AIS_kraskov,entorhinal,entorhinal,Univariate,0.07750826197382388,entorhinal
je_kozachenko,lateraloccipital,entorhinal,Bivariate,2.81442967453259,
si_kozachenko_k-1,lateraloccipital,entorhinal,Bivariate,0.02329848984447702,
mi_kraskov_NN-4,lateraloccipital,entorhinal,Bivariate,-0.0003018670781536059,
tlmi_kraskov_NN-4,lateraloccipital,entorhinal,Bivariate,0.007799859982778656,
di_kozachenko,lateraloccipital,entorhinal,Bivariate,2.4446304415918165,
gc_gaussian_k-1_kt-1_l-1_lt-1,lateraloccipital,entorhinal,Bivariate,7.258487430228848e-05,
te_kraskov_NN-4_k-1_kt-1_l-1_lt-1,lateraloccipital,entorhinal,Bivariate,-0.008925497559612472,
ce_kozachenko,lateraloccipital,entorhinal,Bivariate,1.405708799872197,
cce_kozachenko,lateraloccipital,entorhinal,Bivariate,4.413058774183465,
entropy_kozachenko,paracentral,paracentral,Univariate,1.3984409268949731,paracentral
AIS_kraskov,paracentral,paracentral,Univariate,0.05159685484389165,paracentral
je_kozachenko,lateraloccipital,paracentral,Bivariate,2.848622538603634,
si_kozachenko_k-1,lateraloccipital,paracentral,Bivariate,0.02179156224567924,
mi_kraskov_NN-4,lateraloccipital,paracentral,Bivariate,-0.0021434384690159902,
tlmi_kraskov_NN-4,lateraloccipital,paracentral,Bivariate,0.01986546810399581,
di_kozachenko,lateraloccipital,paracentral,Bivariate,2.4266936126481156,
gc_gaussian_k-1_kt-1_l-1_lt-1,lateraloccipital,paracentral,Bivariate,8.197302140419312e-06,
te_kraskov_NN-4_k-1_kt-1_l-1_lt-1,lateraloccipital,paracentral,Bivariate,-0.003143212599388656,
ce_kozachenko,lateraloccipital,paracentral,Bivariate,1.4401396615072275,
cce_kozachenko,lateraloccipital,paracentral,Bivariate,4.496701099988151,
entropy_kozachenko,precuneus,precuneus,Univariate,1.423987913493698,precuneus
AIS_kraskov,precuneus,precuneus,Univariate,0.042504452764271505,precuneus
je_kozachenko,lateraloccipital,precuneus,Bivariate,2.8434884392243576,
si_kozachenko_k-1,lateraloccipital,precuneus,Bivariate,0.004639231501323504,
mi_kraskov_NN-4,lateraloccipital,precuneus,Bivariate,-0.008797408425792241,
tlmi_kraskov_NN-4,lateraloccipital,precuneus,Bivariate,0.007568185140321759,
di_kozachenko,lateraloccipital,precuneus,Bivariate,2.427622202763777,
gc_gaussian_k-1_kt-1_l-1_lt-1,lateraloccipital,precuneus,Bivariate,9.039497929584911e-06,
te_kraskov_NN-4_k-1_kt-1_l-1_lt-1,lateraloccipital,precuneus,Bivariate,0.005717679985911328,
ce_kozachenko,lateraloccipital,precuneus,Bivariate,1.4351308603738295,
cce_kozachenko,lateraloccipital,precuneus,Bivariate,4.504282477370895,
entropy_kozachenko,inferiortemporal,inferiortemporal,Univariate,1.4056204995413326,inferiortemporal
AIS_kraskov,inferiortemporal,inferiortemporal,Univariate,0.10447642518488998,inferiortemporal
je_kozachenko,lateraloccipital,inferiortemporal,Bivariate,2.8273247453628136,
si_kozachenko_k-1,lateraloccipital,inferiortemporal,Bivariate,0.024077378945868144,
mi_kraskov_NN-4,lateraloccipital,inferiortemporal,Bivariate,0.009594446384962652,
tlmi_kraskov_NN-4,lateraloccipital,inferiortemporal,Bivariate,-0.017114354681680766,
di_kozachenko,lateraloccipital,inferiortemporal,Bivariate,2.331017564164302,
gc_gaussian_k-1_kt-1_l-1_lt-1,lateraloccipital,inferiortemporal,Bivariate,0.00019776592851249755,
te_kraskov_NN-4_k-1_kt-1_l-1_lt-1,lateraloccipital,inferiortemporal,Bivariate,0.0059893087091227315,
ce_kozachenko,lateraloccipital,inferiortemporal,Bivariate,1.4186808219307294,
cce_kozachenko,lateraloccipital,inferiortemporal,Bivariate,4.436470556726247,
entropy_kozachenko,temporalpole,temporalpole,Univariate,1.4193150936522718,temporalpole
AIS_kraskov,temporalpole,temporalpole,Univariate,0.08474979068383703,temporalpole
je_kozachenko,lateraloccipital,temporalpole,Bivariate,2.8241699621571095,
si_kozachenko_k-1,lateraloccipital,temporalpole,Bivariate,-0.004350674281493827,
mi_kraskov_NN-4,lateraloccipital,temporalpole,Bivariate,-0.0037340428936900594,
tlmi_kraskov_NN-4,lateraloccipital,temporalpole,Bivariate,0.0011278927404347883,
di_kozachenko,lateraloccipital,temporalpole,Bivariate,2.299598362055689,
gc_gaussian_k-1_kt-1_l-1_lt-1,lateraloccipital,temporalpole,Bivariate,1.621378161646845e-05,
te_kraskov_NN-4_k-1_kt-1_l-1_lt-1,lateraloccipital,temporalpole,Bivariate,-0.006049916782766784,
ce_kozachenko,lateraloccipital,temporalpole,Bivariate,1.4156134735518395,
cce_kozachenko,lateraloccipital,temporalpole,Bivariate,4.469378450032751,
